utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T17:29:32.355Z,44648,manager_exports,0000000000000000,1,0.000,4,4,4,4,open;close;enum;owner;default
2026-09-14T17:29:32.357Z,44648,manager_open,0000000000000006,1,0.033,4,4,4,4,hidden;lastError=0
2026-09-14T17:29:32.357Z,44648,enumerated_context,0000000000000801,0,0.000,4,4,4,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=0;options=0x8011;name=
2026-09-14T17:29:32.358Z,44648,enumerated_context,0000000000000A02,0,0.000,4,4,4,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-44876-0
2026-09-14T17:29:32.360Z,44648,enumerated_context,0000000000001001,0,0.000,4,4,4,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=1;options=0x8011;name=
2026-09-14T17:29:32.362Z,44648,enumerated_context,0000000000001202,0,0.000,4,4,4,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=1;options=0x8015;name=issue121-44876-0
2026-09-14T17:29:32.362Z,44648,manager_enum,0000000000000006,1,0.000,4,4,4,4,callbacks=4
2026-09-14T17:29:32.362Z,44648,manager_default_digitizer,0000000000000C02,0,0.000,4,4,4,4,read_only
2026-09-14T17:29:32.362Z,44648,manager_default_system,0000000000000C01,0,0.000,4,4,4,4,read_only
2026-09-14T17:29:32.363Z,44648,manager_close,0000000000000006,1,0.000,4,4,4,4,hidden
2026-09-14T17:29:32.465Z,44648,manager_open,0000000000000007,1,0.094,4,4,4,4,visible;lastError=0
2026-09-14T17:29:32.467Z,44648,enumerated_context,0000000000000801,0,0.000,4,4,4,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=0;options=0x8011;name=
2026-09-14T17:29:32.468Z,44648,enumerated_context,0000000000000A02,0,0.000,4,4,4,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-44876-0
2026-09-14T17:29:32.470Z,44648,enumerated_context,0000000000001001,0,0.000,4,4,4,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=1;options=0x8011;name=
2026-09-14T17:29:32.472Z,44648,enumerated_context,0000000000001202,0,0.000,4,4,4,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=1;options=0x8015;name=issue121-44876-0
2026-09-14T17:29:32.472Z,44648,manager_enum,0000000000000007,1,0.000,4,4,4,4,callbacks=4
2026-09-14T17:29:32.473Z,44648,manager_default_digitizer,0000000000000C02,0,0.000,4,4,4,4,read_only
2026-09-14T17:29:32.473Z,44648,manager_default_system,0000000000000C01,0,0.000,4,4,4,4,read_only
2026-09-14T17:29:32.473Z,44648,manager_close,0000000000000007,1,0.000,4,4,4,4,visible
2026-09-14T17:29:32.473Z,44648,manager_open,0000000000000000,0,0.024,4,4,4,4,null_hwnd;lastError=0
