utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T18:51:18.926Z,52752,manager_exports,0000000000000000,1,0.000,406,4,406,4,"open;close;enum;owner;default"
2026-09-14T18:51:18.936Z,52752,manager_open,0000000000000006,1,0.093,406,4,406,4,"hidden;lastError=0"
2026-09-14T18:51:18.947Z,52752,enumerated_context,0000000000000B02,0,0.000,406,4,406,4,"owner=0000000000000000;isWindow=0;ownerPid=0;get=0;device=0;options=0x0;name="
2026-09-14T18:51:18.956Z,52752,enumerated_context,0000000000000B01,0,0.000,406,4,406,4,"owner=0000000000000000;isWindow=0;ownerPid=0;get=0;device=0;options=0x0;name="
2026-09-14T18:51:18.968Z,52752,enumerated_context,0000000000000801,0,0.000,406,4,406,4,"owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=0;options=0x8011;name="
2026-09-14T18:51:18.976Z,52752,enumerated_context,0000000000000B00,0,0.000,406,4,406,4,"owner=0000000000000000;isWindow=0;ownerPid=0;get=0;device=0;options=0x0;name="
2026-09-14T18:51:18.986Z,52752,enumerated_context,0000000000000ACA,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-66"
2026-09-14T18:51:18.998Z,52752,enumerated_context,0000000000000AC9,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-65"
2026-09-14T18:51:19.008Z,52752,enumerated_context,0000000000000AC8,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-64"
2026-09-14T18:51:19.018Z,52752,enumerated_context,0000000000000AC7,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-63"
2026-09-14T18:51:19.027Z,52752,enumerated_context,0000000000000AC6,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-62"
2026-09-14T18:51:19.038Z,52752,enumerated_context,0000000000000AC5,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-61"
2026-09-14T18:51:19.047Z,52752,enumerated_context,0000000000000AC4,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-60"
2026-09-14T18:51:19.057Z,52752,enumerated_context,0000000000000AC3,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-59"
2026-09-14T18:51:19.067Z,52752,enumerated_context,0000000000000AC2,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-58"
2026-09-14T18:51:19.077Z,52752,enumerated_context,0000000000000AC1,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-57"
2026-09-14T18:51:19.086Z,52752,enumerated_context,0000000000000AC0,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-56"
2026-09-14T18:51:19.095Z,52752,enumerated_context,0000000000000ABF,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-55"
2026-09-14T18:51:19.105Z,52752,enumerated_context,0000000000000ABE,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-54"
2026-09-14T18:51:19.114Z,52752,enumerated_context,0000000000000ABD,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-53"
2026-09-14T18:51:19.123Z,52752,enumerated_context,0000000000000ABC,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-52"
2026-09-14T18:51:19.132Z,52752,enumerated_context,0000000000000ABB,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-51"
2026-09-14T18:51:19.142Z,52752,enumerated_context,0000000000000ABA,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-50"
2026-09-14T18:51:19.155Z,52752,enumerated_context,0000000000000AB9,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-49"
2026-09-14T18:51:19.163Z,52752,enumerated_context,0000000000000AB8,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-48"
2026-09-14T18:51:19.174Z,52752,enumerated_context,0000000000000AB7,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-47"
2026-09-14T18:51:19.183Z,52752,enumerated_context,0000000000000AB6,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-46"
2026-09-14T18:51:19.192Z,52752,enumerated_context,0000000000000AB5,0,0.000,406,4,406,4,"owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-45"
