utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T18:48:24.052Z,23776,dll,00007FFF92B50000,64,0.000,512,4,512,4,"C:\Windows\SYSTEM32\Wintab32.dll"
2026-09-14T18:48:24.073Z,23776,coordinator_module_loaded,00007FFF92B50000,1,0.000,512,4,512,4,"after_first_WTInfo_queries"
2026-09-14T18:48:24.090Z,23776,context_struct_bytes,0000000000000000,172,0.000,512,4,512,4,"expected=172"
2026-09-14T18:48:24.106Z,23776,info_1_1,0000000000000000,1953392983,0.000,512,4,512,4,"bytes=26;name=Wintab Digitizer Services"
2026-09-14T18:48:24.123Z,23776,info_1_2,0000000000000000,260,0.000,512,4,512,4,"bytes=2"
2026-09-14T18:48:24.137Z,23776,info_1_3,0000000000000000,295,0.000,512,4,512,4,"bytes=2"
2026-09-14T18:48:24.151Z,23776,info_1_4,0000000000000000,1,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.165Z,23776,info_1_5,0000000000000000,12,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.179Z,23776,info_1_6,0000000000000000,32,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.194Z,23776,info_1_7,0000000000000000,13,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.212Z,23776,info_1_8,0000000000000000,172,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.227Z,23776,info_1_9,0000000000000000,5,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.244Z,23776,info_1_10,0000000000000000,9,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.259Z,23776,info_2_1,0000000000000000,512,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.291Z,23776,info_2_2,0000000000000000,512,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.306Z,23776,info_2_3,0000000000000000,200,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.338Z,23776,info_2_4,0000000000000000,8191,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.355Z,23776,info_2_5,0000000000000000,0,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.373Z,23776,info_2_6,0000000000000000,1,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.420Z,23776,info_2_7,0000000000000000,4294967295,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.438Z,23776,info_2_8,0000000000000000,15,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.457Z,23776,device_0,0000000000000000,13,0.000,512,4,512,4,"name=WACOM Tablet"
2026-09-14T18:48:24.475Z,23776,device_0_pnpid,0000000000000000,14,0.000,512,4,512,4,"nonempty_identifier_not_recorded"
2026-09-14T18:48:24.491Z,23776,device_0_index_2,0000000000000000,13,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.507Z,23776,device_0_index_3,0000000000000000,6,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.525Z,23776,device_0_index_4,0000000000000000,0,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.541Z,23776,device_0_index_5,0000000000000000,200,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.557Z,23776,device_0_index_6,0000000000000000,511,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.573Z,23776,device_0_index_7,0000000000000000,0,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.586Z,23776,device_0_index_8,0000000000000000,7680,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.599Z,23776,device_0_index_9,0000000000000000,0,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.611Z,23776,device_0_index_10,0000000000000000,0,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.625Z,23776,device_0_index_11,0000000000000000,0,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.639Z,23776,device_0_index_12,0000000000000000,16,0.000,512,4,512,4,"axis0=min:0/max:53084/units:2/resolution:65536000;"
2026-09-14T18:48:24.652Z,23776,device_0_index_13,0000000000000000,16,0.000,512,4,512,4,"axis0=min:0/max:30034/units:2/resolution:65536000;"
2026-09-14T18:48:24.666Z,23776,device_0_index_14,0000000000000000,16,0.000,512,4,512,4,"axis0=min:-1023/max:1023/units:2/resolution:65536000;"
2026-09-14T18:48:24.681Z,23776,device_0_index_15,0000000000000000,16,0.000,512,4,512,4,"axis0=min:0/max:32767/units:0/resolution:0;"
2026-09-14T18:48:24.698Z,23776,device_0_index_16,0000000000000000,16,0.000,512,4,512,4,"axis0=min:0/max:1023/units:0/resolution:0;"
2026-09-14T18:48:24.715Z,23776,device_0_index_17,0000000000000000,48,0.000,512,4,512,4,"axis0=min:0/max:3600/units:3/resolution:235929600;axis1=min:-900/max:900/units:3/resolution:235929600;axis2=min:0/max:3600/units:3/resolution:235929600;"
2026-09-14T18:48:24.730Z,23776,device_0_index_18,0000000000000000,-1,0.000,512,4,512,4,"bytes=0;expected=48;unavailable"
2026-09-14T18:48:24.748Z,23776,device_1,0000000000000000,13,0.000,512,4,512,4,"name=WACOM Tablet"
2026-09-14T18:48:24.763Z,23776,device_1_pnpid,0000000000000000,256,0.000,512,4,512,4,"empty_identifier"
2026-09-14T18:48:24.781Z,23776,device_1_index_2,0000000000000000,5,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.797Z,23776,device_1_index_3,0000000000000000,6,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.813Z,23776,device_1_index_4,0000000000000000,6,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.830Z,23776,device_1_index_5,0000000000000000,100,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.845Z,23776,device_1_index_6,0000000000000000,511,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.860Z,23776,device_1_index_7,0000000000000000,0,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.874Z,23776,device_1_index_8,0000000000000000,5120,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.889Z,23776,device_1_index_9,0000000000000000,0,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.903Z,23776,device_1_index_10,0000000000000000,0,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.919Z,23776,device_1_index_11,0000000000000000,0,0.000,512,4,512,4,"bytes=4"
2026-09-14T18:48:24.934Z,23776,device_1_index_12,0000000000000000,16,0.000,512,4,512,4,"axis0=min:0/max:30930/units:2/resolution:65536000;"
2026-09-14T18:48:24.949Z,23776,device_1_index_13,0000000000000000,16,0.000,512,4,512,4,"axis0=min:0/max:17398/units:2/resolution:65536000;"
2026-09-14T18:48:24.963Z,23776,device_1_index_14,0000000000000000,-1,0.000,512,4,512,4,"bytes=0;expected=16;unavailable"
2026-09-14T18:48:24.978Z,23776,device_1_index_15,0000000000000000,16,0.000,512,4,512,4,"axis0=min:0/max:32767/units:0/resolution:0;"
2026-09-14T18:48:24.993Z,23776,device_1_index_16,0000000000000000,-1,0.000,512,4,512,4,"bytes=0;expected=16;unavailable"
2026-09-14T18:48:25.006Z,23776,device_1_index_17,0000000000000000,48,0.000,512,4,512,4,"axis0=min:0/max:3600/units:3/resolution:235929600;axis1=min:-900/max:900/units:3/resolution:235929600;axis2=min:0/max:0/units:0/resolution:0;"
2026-09-14T18:48:25.020Z,23776,device_1_index_18,0000000000000000,-1,0.000,512,4,512,4,"bytes=0;expected=48;unavailable"
2026-09-14T18:48:25.034Z,23776,device_2,0000000000000000,0,0.000,512,4,512,4,"name="
2026-09-14T18:48:25.046Z,23776,cursor_0_active,0000000000000000,1,0.000,512,4,512,4,"name=Puck;name_bytes=5;active_bytes=4"
2026-09-14T18:48:25.062Z,23776,cursor_1_active,0000000000000000,1,0.000,512,4,512,4,"name=Pressure Stylus;name_bytes=16;active_bytes=4"
2026-09-14T18:48:25.073Z,23776,cursor_2_active,0000000000000000,1,0.000,512,4,512,4,"name=Eraser  ;name_bytes=9;active_bytes=4"
2026-09-14T18:48:25.087Z,23776,cursor_3_active,0000000000000000,1,0.000,512,4,512,4,"name=Puck;name_bytes=5;active_bytes=4"
2026-09-14T18:48:25.099Z,23776,cursor_4_active,0000000000000000,1,0.000,512,4,512,4,"name=Pressure Stylus;name_bytes=16;active_bytes=4"
2026-09-14T18:48:25.112Z,23776,cursor_5_active,0000000000000000,1,0.000,512,4,512,4,"name=Eraser  ;name_bytes=9;active_bytes=4"
2026-09-14T18:48:25.123Z,23776,cursor_6_active,0000000000000000,1,0.000,512,4,512,4,"name=Puck;name_bytes=5;active_bytes=4"
2026-09-14T18:48:25.136Z,23776,cursor_7_active,0000000000000000,1,0.000,512,4,512,4,"name=Pressure Stylus;name_bytes=16;active_bytes=4"
2026-09-14T18:48:25.147Z,23776,cursor_8_active,0000000000000000,1,0.000,512,4,512,4,"name=Eraser  ;name_bytes=9;active_bytes=4"
2026-09-14T18:48:25.164Z,23776,cursor_9_active,0000000000000000,1,0.000,512,4,512,4,"name=Puck;name_bytes=5;active_bytes=4"
2026-09-14T18:48:25.177Z,23776,cursor_10_active,0000000000000000,1,0.000,512,4,512,4,"name=Pressure Stylus;name_bytes=16;active_bytes=4"
2026-09-14T18:48:25.193Z,23776,cursor_11_active,0000000000000000,1,0.000,512,4,512,4,"name=Eraser  ;name_bytes=9;active_bytes=4"
