utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T18:48:19.630Z,18900,before,0000000000000000,128,0.000,405,4,405,4,"clean"
2026-09-14T18:48:19.700Z,18900,open,00000000000002CB,1,56.472,407,4,407,4,"index=0;device=4294967295;options=0x8015;hwnd=0000000000A10F6E"
2026-09-14T18:48:19.775Z,18900,open,00000000000002CC,1,61.833,409,4,409,4,"index=1;device=4294967295;options=0x8015;hwnd=0000000000A10F6E"
2026-09-14T18:48:19.845Z,18900,open,00000000000002CD,1,58.294,411,4,411,4,"index=2;device=4294967295;options=0x8015;hwnd=0000000000A10F6E"
2026-09-14T18:48:19.920Z,18900,open,00000000000002CE,1,59.507,413,4,413,4,"index=3;device=4294967295;options=0x8015;hwnd=0000000000A10F6E"
2026-09-14T18:48:19.994Z,18900,open,00000000000002CF,1,58.478,415,4,415,4,"index=4;device=4294967295;options=0x8015;hwnd=0000000000A10F6E"
2026-09-14T18:48:20.063Z,18900,open,00000000000002D0,1,57.392,417,4,417,4,"index=5;device=4294967295;options=0x8015;hwnd=0000000000A10F6E"
2026-09-14T18:48:20.135Z,18900,open,00000000000002D1,1,59.808,419,4,419,4,"index=6;device=4294967295;options=0x8015;hwnd=0000000000A10F6E"
2026-09-14T18:48:20.211Z,18900,open,00000000000002D2,1,61.214,421,4,421,4,"index=7;device=4294967295;options=0x8015;hwnd=0000000000A10F6E"
2026-09-14T18:48:20.289Z,18900,open,00000000000002D3,1,61.992,423,4,423,4,"index=8;device=4294967295;options=0x8015;hwnd=0000000000A10F6E"
2026-09-14T18:48:20.365Z,18900,open,00000000000002D4,1,62.093,425,4,425,4,"index=9;device=4294967295;options=0x8015;hwnd=0000000000A10F6E"
2026-09-14T18:48:20.444Z,18900,open,00000000000002D5,1,62.476,427,4,427,4,"index=10;device=4294967295;options=0x8015;hwnd=0000000000A10F6E"
2026-09-14T18:48:20.520Z,18900,open,00000000000002D6,1,63.002,429,4,429,4,"index=11;device=4294967295;options=0x8015;hwnd=0000000000A10F6E"
2026-09-14T18:48:20.596Z,18900,open,00000000000002D7,1,61.466,431,4,431,4,"index=12;device=4294967295;options=0x8015;hwnd=0000000000A10F6E"
2026-09-14T18:48:20.672Z,18900,open,00000000000002D8,1,60.695,433,4,433,4,"index=13;device=4294967295;options=0x8015;hwnd=0000000000A10F6E"
2026-09-14T18:48:20.746Z,18900,open,00000000000002D9,1,60.538,435,4,435,4,"index=14;device=4294967295;options=0x8015;hwnd=0000000000A10F6E"
