"utc","name","pid","exit_code"
"2026-09-14T18:48:19.4987316Z","before","51896","0"
"2026-09-14T18:48:25.1993976Z","held-info","23776","0"
"2026-09-14T18:48:41.4719101Z","held-manager","58492","0"
"2026-09-14T18:48:41.6524022Z","held-system","53776","1"
"2026-09-14T18:48:41.8627101Z","held-digitizer","58644","0"
"2026-09-14T18:48:42.0255562Z","held-device0","8252","0"
"2026-09-14T18:48:42.1644654Z","held-device1","50760","0"
"2026-09-14T18:48:42.2333034Z","held-after-controls","32800","0"
"2026-09-14T18:50:24.6071248Z","holder","18900","1"
"2026-09-14T18:50:24.6699749Z","after","33320","0"
"2026-09-14T18:50:24.8603008Z","after-system","59304","0"
