utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T18:22:00.471Z,46688,dll,73B70000,32,0.000,405,4,405,4,"C:\Windows\SYSTEM32\Wintab32.dll"
2026-09-14T18:22:00.488Z,46688,coordinator_module_loaded,73B70000,1,0.000,405,4,405,4,"after_first_WTInfo_queries"
2026-09-14T18:22:00.501Z,46688,context_struct_bytes,00000000,172,0.000,405,4,405,4,"expected=172"
2026-09-14T18:22:00.516Z,46688,info_1_1,00000000,1953392983,0.000,405,4,405,4,"bytes=26;name=Wintab Digitizer Services"
2026-09-14T18:22:00.525Z,46688,info_1_2,00000000,260,0.000,405,4,405,4,"bytes=2"
2026-09-14T18:22:00.539Z,46688,info_1_3,00000000,295,0.000,405,4,405,4,"bytes=2"
2026-09-14T18:22:00.552Z,46688,info_1_4,00000000,1,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.562Z,46688,info_1_5,00000000,12,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.574Z,46688,info_1_6,00000000,32,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.588Z,46688,info_1_7,00000000,13,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.602Z,46688,info_1_8,00000000,172,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.615Z,46688,info_1_9,00000000,5,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.626Z,46688,info_1_10,00000000,9,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.639Z,46688,info_2_1,00000000,405,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.665Z,46688,info_2_2,00000000,405,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.674Z,46688,info_2_3,00000000,200,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.691Z,46688,info_2_4,00000000,8191,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.702Z,46688,info_2_5,00000000,0,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.711Z,46688,info_2_6,00000000,1,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.738Z,46688,info_2_7,00000000,4294967295,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.749Z,46688,info_2_8,00000000,15,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.759Z,46688,device_0,00000000,13,0.000,405,4,405,4,"name=WACOM Tablet"
2026-09-14T18:22:00.772Z,46688,device_0_pnpid,00000000,14,0.000,405,4,405,4,"nonempty_identifier_not_recorded"
2026-09-14T18:22:00.789Z,46688,device_0_index_2,00000000,13,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.802Z,46688,device_0_index_3,00000000,6,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.818Z,46688,device_0_index_4,00000000,0,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.834Z,46688,device_0_index_5,00000000,200,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.845Z,46688,device_0_index_6,00000000,511,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.858Z,46688,device_0_index_7,00000000,0,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.869Z,46688,device_0_index_8,00000000,7680,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.881Z,46688,device_0_index_9,00000000,0,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.892Z,46688,device_0_index_10,00000000,0,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.904Z,46688,device_0_index_11,00000000,0,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:00.917Z,46688,device_0_index_12,00000000,16,0.000,405,4,405,4,"axis0=min:0/max:53084/units:2/resolution:65536000;"
2026-09-14T18:22:00.929Z,46688,device_0_index_13,00000000,16,0.000,405,4,405,4,"axis0=min:0/max:30034/units:2/resolution:65536000;"
2026-09-14T18:22:00.942Z,46688,device_0_index_14,00000000,16,0.000,405,4,405,4,"axis0=min:-1023/max:1023/units:2/resolution:65536000;"
2026-09-14T18:22:00.952Z,46688,device_0_index_15,00000000,16,0.000,405,4,405,4,"axis0=min:0/max:32767/units:0/resolution:0;"
2026-09-14T18:22:00.965Z,46688,device_0_index_16,00000000,16,0.000,405,4,405,4,"axis0=min:0/max:1023/units:0/resolution:0;"
2026-09-14T18:22:00.978Z,46688,device_0_index_17,00000000,48,0.000,405,4,405,4,"axis0=min:0/max:3600/units:3/resolution:235929600;axis1=min:-900/max:900/units:3/resolution:235929600;axis2=min:0/max:3600/units:3/resolution:235929600;"
2026-09-14T18:22:00.989Z,46688,device_0_index_18,00000000,-1,0.000,405,4,405,4,"bytes=0;expected=48;unavailable"
2026-09-14T18:22:01.002Z,46688,device_1,00000000,13,0.000,405,4,405,4,"name=WACOM Tablet"
2026-09-14T18:22:01.015Z,46688,device_1_pnpid,00000000,256,0.000,405,4,405,4,"empty_identifier"
2026-09-14T18:22:01.029Z,46688,device_1_index_2,00000000,5,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:01.042Z,46688,device_1_index_3,00000000,6,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:01.055Z,46688,device_1_index_4,00000000,6,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:01.069Z,46688,device_1_index_5,00000000,100,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:22:01.082Z,46688,device_1_index_6,00000000,511,0.000,405,4,405,4,"bytes=4"
