utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T18:37:39.072Z,42860,dll,00007FF845BD0000,64,0.000,405,4,405,4,"C:\Windows\SYSTEM32\Wacom_Tablet.dll"
2026-09-14T18:37:39.084Z,42860,coordinator_module_loaded,0000000000000000,0,0.000,405,4,405,4,"after_first_WTInfo_queries"
2026-09-14T18:37:39.095Z,42860,context_struct_bytes,0000000000000000,172,0.000,405,4,405,4,"expected=172"
2026-09-14T18:37:39.108Z,42860,info_1_1,0000000000000000,1953392983,0.000,405,4,405,4,"bytes=26;name=Wintab Digitizer Services"
2026-09-14T18:37:39.121Z,42860,info_1_2,0000000000000000,260,0.000,405,4,405,4,"bytes=2"
2026-09-14T18:37:39.132Z,42860,info_1_3,0000000000000000,295,0.000,405,4,405,4,"bytes=2"
2026-09-14T18:37:39.144Z,42860,info_1_4,0000000000000000,1,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.157Z,42860,info_1_5,0000000000000000,12,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.169Z,42860,info_1_6,0000000000000000,32,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.181Z,42860,info_1_7,0000000000000000,13,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.192Z,42860,info_1_8,0000000000000000,172,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.204Z,42860,info_1_9,0000000000000000,5,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.217Z,42860,info_1_10,0000000000000000,9,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.229Z,42860,info_2_1,0000000000000000,405,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.252Z,42860,info_2_2,0000000000000000,405,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.266Z,42860,info_2_3,0000000000000000,200,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.288Z,42860,info_2_4,0000000000000000,8191,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.300Z,42860,info_2_5,0000000000000000,0,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.310Z,42860,info_2_6,0000000000000000,1,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.341Z,42860,info_2_7,0000000000000000,4294967295,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.350Z,42860,info_2_8,0000000000000000,15,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.359Z,42860,device_0,0000000000000000,13,0.000,405,4,405,4,"name=WACOM Tablet"
2026-09-14T18:37:39.370Z,42860,device_0_pnpid,0000000000000000,14,0.000,405,4,405,4,"nonempty_identifier_not_recorded"
2026-09-14T18:37:39.380Z,42860,device_0_index_2,0000000000000000,13,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.391Z,42860,device_0_index_3,0000000000000000,6,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.404Z,42860,device_0_index_4,0000000000000000,0,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.416Z,42860,device_0_index_5,0000000000000000,200,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.429Z,42860,device_0_index_6,0000000000000000,511,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.441Z,42860,device_0_index_7,0000000000000000,0,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.452Z,42860,device_0_index_8,0000000000000000,7680,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.464Z,42860,device_0_index_9,0000000000000000,0,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.475Z,42860,device_0_index_10,0000000000000000,0,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.487Z,42860,device_0_index_11,0000000000000000,0,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.498Z,42860,device_0_index_12,0000000000000000,16,0.000,405,4,405,4,"axis0=min:0/max:53084/units:2/resolution:65536000;"
2026-09-14T18:37:39.508Z,42860,device_0_index_13,0000000000000000,16,0.000,405,4,405,4,"axis0=min:0/max:30034/units:2/resolution:65536000;"
2026-09-14T18:37:39.519Z,42860,device_0_index_14,0000000000000000,16,0.000,405,4,405,4,"axis0=min:-1023/max:1023/units:2/resolution:65536000;"
2026-09-14T18:37:39.531Z,42860,device_0_index_15,0000000000000000,16,0.000,405,4,405,4,"axis0=min:0/max:32767/units:0/resolution:0;"
2026-09-14T18:37:39.541Z,42860,device_0_index_16,0000000000000000,16,0.000,405,4,405,4,"axis0=min:0/max:1023/units:0/resolution:0;"
2026-09-14T18:37:39.554Z,42860,device_0_index_17,0000000000000000,48,0.000,405,4,405,4,"axis0=min:0/max:3600/units:3/resolution:235929600;axis1=min:-900/max:900/units:3/resolution:235929600;axis2=min:0/max:3600/units:3/resolution:235929600;"
2026-09-14T18:37:39.566Z,42860,device_0_index_18,0000000000000000,-1,0.000,405,4,405,4,"bytes=0;expected=48;unavailable"
2026-09-14T18:37:39.576Z,42860,device_1,0000000000000000,13,0.000,405,4,405,4,"name=WACOM Tablet"
2026-09-14T18:37:39.590Z,42860,device_1_pnpid,0000000000000000,256,0.000,405,4,405,4,"empty_identifier"
2026-09-14T18:37:39.602Z,42860,device_1_index_2,0000000000000000,5,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.614Z,42860,device_1_index_3,0000000000000000,6,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.624Z,42860,device_1_index_4,0000000000000000,6,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.636Z,42860,device_1_index_5,0000000000000000,100,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.650Z,42860,device_1_index_6,0000000000000000,511,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.661Z,42860,device_1_index_7,0000000000000000,0,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.672Z,42860,device_1_index_8,0000000000000000,5120,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.684Z,42860,device_1_index_9,0000000000000000,0,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.694Z,42860,device_1_index_10,0000000000000000,0,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.706Z,42860,device_1_index_11,0000000000000000,0,0.000,405,4,405,4,"bytes=4"
2026-09-14T18:37:39.718Z,42860,device_1_index_12,0000000000000000,16,0.000,405,4,405,4,"axis0=min:0/max:30930/units:2/resolution:65536000;"
2026-09-14T18:37:39.728Z,42860,device_1_index_13,0000000000000000,16,0.000,405,4,405,4,"axis0=min:0/max:17398/units:2/resolution:65536000;"
2026-09-14T18:37:39.741Z,42860,device_1_index_14,0000000000000000,-1,0.000,405,4,405,4,"bytes=0;expected=16;unavailable"
2026-09-14T18:37:39.752Z,42860,device_1_index_15,0000000000000000,16,0.000,405,4,405,4,"axis0=min:0/max:32767/units:0/resolution:0;"
2026-09-14T18:37:39.762Z,42860,device_1_index_16,0000000000000000,-1,0.000,405,4,405,4,"bytes=0;expected=16;unavailable"
2026-09-14T18:37:39.772Z,42860,device_1_index_17,0000000000000000,48,0.000,405,4,405,4,"axis0=min:0/max:3600/units:3/resolution:235929600;axis1=min:-900/max:900/units:3/resolution:235929600;axis2=min:0/max:0/units:0/resolution:0;"
2026-09-14T18:37:39.782Z,42860,device_1_index_18,0000000000000000,-1,0.000,405,4,405,4,"bytes=0;expected=48;unavailable"
2026-09-14T18:37:39.794Z,42860,device_2,0000000000000000,255,0.000,405,4,405,4,"name="
2026-09-14T18:37:39.805Z,42860,cursor_0_active,0000000000000000,1,0.000,405,4,405,4,"name=Puck;name_bytes=5;active_bytes=4"
2026-09-14T18:37:39.816Z,42860,cursor_1_active,0000000000000000,1,0.000,405,4,405,4,"name=Pressure Stylus;name_bytes=16;active_bytes=4"
2026-09-14T18:37:39.825Z,42860,cursor_2_active,0000000000000000,1,0.000,405,4,405,4,"name=Eraser  ;name_bytes=9;active_bytes=4"
2026-09-14T18:37:39.837Z,42860,cursor_3_active,0000000000000000,1,0.000,405,4,405,4,"name=Puck;name_bytes=5;active_bytes=4"
2026-09-14T18:37:39.846Z,42860,cursor_4_active,0000000000000000,1,0.000,405,4,405,4,"name=Pressure Stylus;name_bytes=16;active_bytes=4"
2026-09-14T18:37:39.857Z,42860,cursor_5_active,0000000000000000,1,0.000,405,4,405,4,"name=Eraser  ;name_bytes=9;active_bytes=4"
2026-09-14T18:37:39.869Z,42860,cursor_6_active,0000000000000000,1,0.000,405,4,405,4,"name=Puck;name_bytes=5;active_bytes=4"
2026-09-14T18:37:39.878Z,42860,cursor_7_active,0000000000000000,1,0.000,405,4,405,4,"name=Pressure Stylus;name_bytes=16;active_bytes=4"
2026-09-14T18:37:39.889Z,42860,cursor_8_active,0000000000000000,1,0.000,405,4,405,4,"name=Eraser  ;name_bytes=9;active_bytes=4"
2026-09-14T18:37:39.900Z,42860,cursor_9_active,0000000000000000,1,0.000,405,4,405,4,"name=Puck;name_bytes=5;active_bytes=4"
2026-09-14T18:37:39.910Z,42860,cursor_10_active,0000000000000000,1,0.000,405,4,405,4,"name=Pressure Stylus;name_bytes=16;active_bytes=4"
2026-09-14T18:37:39.922Z,42860,cursor_11_active,0000000000000000,1,0.000,405,4,405,4,"name=Eraser  ;name_bytes=9;active_bytes=4"
