utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T18:55:56.092Z,46348,manager_exports,0000000000000000,1,0.000,2,4,2,4,"open;close;enum;owner;default"
2026-09-14T18:55:56.094Z,46348,manager_window_visible,00000000001112E2,0,0.000,2,4,2,4,"hidden"
2026-09-14T18:55:56.096Z,46348,manager_open,0000000000000002,1,0.061,2,4,2,4,"hidden;lastError=0"
2026-09-14T18:55:56.100Z,46348,enumerated_context,0000000000000801,0,0.000,2,4,2,4,"owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=0;options=0x8011;name="
2026-09-14T18:55:56.101Z,46348,enumerated_context,0000000000001001,0,0.000,2,4,2,4,"owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=1;options=0x8011;name="
2026-09-14T18:55:56.104Z,46348,manager_enum,0000000000000002,1,0.000,2,4,2,4,"callbacks=2"
2026-09-14T18:55:56.105Z,46348,manager_default_digitizer,0000000000000C02,0,0.000,2,4,2,4,"read_only"
2026-09-14T18:55:56.105Z,46348,manager_default_system,0000000000000C01,0,0.000,2,4,2,4,"read_only"
2026-09-14T18:55:56.105Z,46348,manager_close,0000000000000002,1,0.000,2,4,2,4,"hidden"
2026-09-14T18:55:56.223Z,46348,manager_window_visible,00000000001112E2,1,0.000,2,4,2,4,"visible"
2026-09-14T18:55:56.224Z,46348,manager_open,0000000000000003,1,0.047,2,4,2,4,"visible;lastError=0"
2026-09-14T18:55:56.226Z,46348,enumerated_context,0000000000000801,0,0.000,2,4,2,4,"owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=0;options=0x8011;name="
2026-09-14T18:55:56.229Z,46348,enumerated_context,0000000000001001,0,0.000,2,4,2,4,"owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=1;options=0x8011;name="
2026-09-14T18:55:56.229Z,46348,manager_enum,0000000000000003,1,0.000,2,4,2,4,"callbacks=2"
2026-09-14T18:55:56.231Z,46348,manager_default_digitizer,0000000000000C02,0,0.000,2,4,2,4,"read_only"
2026-09-14T18:55:56.233Z,46348,manager_default_system,0000000000000C01,0,0.000,2,4,2,4,"read_only"
2026-09-14T18:55:56.233Z,46348,manager_close,0000000000000003,1,0.000,2,4,2,4,"visible"
2026-09-14T18:55:56.233Z,46348,manager_window_visible,0000000000000000,0,0.000,2,4,2,4,"null_hwnd"
2026-09-14T18:55:56.234Z,46348,manager_open,0000000000000000,0,0.015,2,4,2,4,"null_hwnd;lastError=0"
