utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T17:35:02.001Z,33960,before,0000000000000000,67,0.000,2,4,2,4,kill
2026-09-14T17:35:02.047Z,33960,open,0000000000000202,1,43.271,4,4,4,4,index=0;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.092Z,33960,open,0000000000000203,1,43.596,6,4,6,4,index=1;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.137Z,33960,open,0000000000000204,1,43.932,8,4,8,4,index=2;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.183Z,33960,open,0000000000000205,1,43.324,10,4,10,4,index=3;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.229Z,33960,open,0000000000000206,1,43.718,12,4,12,4,index=4;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.274Z,33960,open,0000000000000207,1,43.650,14,4,14,4,index=5;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.320Z,33960,open,0000000000000208,1,43.622,16,4,16,4,index=6;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.366Z,33960,open,0000000000000209,1,44.086,18,4,18,4,index=7;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.412Z,33960,open,000000000000020A,1,44.012,20,4,20,4,index=8;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.460Z,33960,open,000000000000020B,1,45.485,22,4,22,4,index=9;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.507Z,33960,open,000000000000020C,1,44.699,24,4,24,4,index=10;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.552Z,33960,open,000000000000020D,1,43.464,26,4,26,4,index=11;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.599Z,33960,open,000000000000020E,1,43.919,28,4,28,4,index=12;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.645Z,33960,open,000000000000020F,1,43.555,30,4,30,4,index=13;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.690Z,33960,open,0000000000000210,1,43.738,32,4,32,4,index=14;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.736Z,33960,open,0000000000000211,1,43.566,34,4,34,4,index=15;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.783Z,33960,open,0000000000000212,1,43.652,36,4,36,4,index=16;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.830Z,33960,open,0000000000000213,1,45.265,38,4,38,4,index=17;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.879Z,33960,open,0000000000000214,1,45.282,40,4,40,4,index=18;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.929Z,33960,open,0000000000000215,1,46.779,42,4,42,4,index=19;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:02.977Z,33960,open,0000000000000216,1,46.980,44,4,44,4,index=20;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.028Z,33960,open,0000000000000217,1,48.117,46,4,46,4,index=21;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.079Z,33960,open,0000000000000218,1,48.001,48,4,48,4,index=22;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.129Z,33960,open,0000000000000219,1,47.064,50,4,50,4,index=23;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.177Z,33960,open,000000000000021A,1,46.718,52,4,52,4,index=24;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.224Z,33960,open,000000000000021B,1,44.600,54,4,54,4,index=25;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.270Z,33960,open,000000000000021C,1,44.032,56,4,56,4,index=26;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.317Z,33960,open,000000000000021D,1,44.366,58,4,58,4,index=27;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.364Z,33960,open,000000000000021E,1,44.091,60,4,60,4,index=28;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.409Z,33960,open,000000000000021F,1,42.306,62,4,62,4,index=29;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.454Z,33960,open,0000000000000220,1,42.407,64,4,64,4,index=30;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.501Z,33960,open,0000000000000221,1,43.044,66,4,66,4,index=31;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.547Z,33960,open,0000000000000222,1,43.466,68,4,68,4,index=32;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.593Z,33960,open,0000000000000223,1,43.223,70,4,70,4,index=33;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.641Z,33960,open,0000000000000224,1,44.151,72,4,72,4,index=34;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.687Z,33960,open,0000000000000225,1,43.271,74,4,74,4,index=35;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.733Z,33960,open,0000000000000226,1,42.528,76,4,76,4,index=36;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.778Z,33960,open,0000000000000227,1,42.572,78,4,78,4,index=37;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.825Z,33960,open,0000000000000228,1,43.499,80,4,80,4,index=38;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.871Z,33960,open,0000000000000229,1,43.067,82,4,82,4,index=39;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.921Z,33960,open,000000000000022A,1,46.319,84,4,84,4,index=40;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:03.965Z,33960,open,000000000000022B,1,41.536,86,4,86,4,index=41;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.014Z,33960,open,000000000000022C,1,42.982,88,4,88,4,index=42;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.059Z,33960,open,000000000000022D,1,42.569,90,4,90,4,index=43;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.105Z,33960,open,000000000000022E,1,42.770,92,4,92,4,index=44;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.154Z,33960,open,000000000000022F,1,45.025,94,4,94,4,index=45;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.205Z,33960,open,0000000000000230,1,46.989,96,4,96,4,index=46;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.254Z,33960,open,0000000000000231,1,44.884,98,4,98,4,index=47;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.302Z,33960,open,0000000000000232,1,45.098,100,4,100,4,index=48;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.350Z,33960,open,0000000000000233,1,44.664,102,4,102,4,index=49;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.398Z,33960,open,0000000000000234,1,44.693,104,4,104,4,index=50;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.445Z,33960,open,0000000000000235,1,43.419,106,4,106,4,index=51;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.494Z,33960,open,0000000000000236,1,44.683,108,4,108,4,index=52;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.541Z,33960,open,0000000000000237,1,44.414,110,4,110,4,index=53;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.590Z,33960,open,0000000000000238,1,43.769,112,4,112,4,index=54;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.637Z,33960,open,0000000000000239,1,43.457,114,4,114,4,index=55;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.685Z,33960,open,000000000000023A,1,44.146,116,4,116,4,index=56;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.731Z,33960,open,000000000000023B,1,43.185,118,4,118,4,index=57;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.778Z,33960,open,000000000000023C,1,43.003,120,4,120,4,index=58;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.826Z,33960,open,000000000000023D,1,43.502,122,4,122,4,index=59;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.874Z,33960,open,000000000000023E,1,43.562,124,4,124,4,index=60;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.924Z,33960,open,000000000000023F,1,46.073,126,4,126,4,index=61;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:04.971Z,33960,open,0000000000000240,1,43.924,128,4,128,4,index=62;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:05.020Z,33960,open,0000000000000241,1,45.012,130,4,130,4,index=63;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:05.070Z,33960,open,0000000000000242,1,45.574,132,4,132,4,index=64;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:05.121Z,33960,open,0000000000000243,1,44.402,134,4,134,4,index=65;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:05.170Z,33960,open,0000000000000244,1,44.995,136,4,136,4,index=66;device=4294967295;options=0x8015;hwnd=00000000004713DC
2026-09-14T17:35:05.174Z,33960,terminate_self,0000000000000000,67,0.000,136,4,136,4,no_WTClose
