utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T17:35:12.362Z,58540,before,0000000000000000,67,0.000,404,4,404,4,kill
2026-09-14T17:35:12.425Z,58540,open,00000000000002CB,1,49.833,406,4,406,4,index=0;device=4294967295;options=0x8015;hwnd=00000000004A13DC
2026-09-14T17:35:12.487Z,58540,open,00000000000002CC,1,50.742,408,4,408,4,index=1;device=4294967295;options=0x8015;hwnd=00000000004A13DC
2026-09-14T17:35:12.547Z,58540,open,00000000000002CD,1,49.391,410,4,410,4,index=2;device=4294967295;options=0x8015;hwnd=00000000004A13DC
2026-09-14T17:35:12.611Z,58540,open,00000000000002CE,1,51.850,412,4,412,4,index=3;device=4294967295;options=0x8015;hwnd=00000000004A13DC
2026-09-14T17:35:12.674Z,58540,open,00000000000002CF,1,50.119,414,4,414,4,index=4;device=4294967295;options=0x8015;hwnd=00000000004A13DC
2026-09-14T17:35:12.736Z,58540,open,00000000000002D0,1,51.638,416,4,416,4,index=5;device=4294967295;options=0x8015;hwnd=00000000004A13DC
2026-09-14T17:35:12.799Z,58540,open,00000000000002D1,1,50.266,418,4,418,4,index=6;device=4294967295;options=0x8015;hwnd=00000000004A13DC
2026-09-14T17:35:12.863Z,58540,open,00000000000002D2,1,50.530,420,4,420,4,index=7;device=4294967295;options=0x8015;hwnd=00000000004A13DC
2026-09-14T17:35:12.929Z,58540,open,00000000000002D3,1,53.132,422,4,422,4,index=8;device=4294967295;options=0x8015;hwnd=00000000004A13DC
2026-09-14T17:35:12.990Z,58540,open,00000000000002D4,1,50.602,424,4,424,4,index=9;device=4294967295;options=0x8015;hwnd=00000000004A13DC
2026-09-14T17:35:13.055Z,58540,open,00000000000002D5,1,52.587,426,4,426,4,index=10;device=4294967295;options=0x8015;hwnd=00000000004A13DC
2026-09-14T17:35:13.117Z,58540,open,00000000000002D6,1,51.245,428,4,428,4,index=11;device=4294967295;options=0x8015;hwnd=00000000004A13DC
2026-09-14T17:35:13.179Z,58540,open,00000000000002D7,1,50.274,430,4,430,4,index=12;device=4294967295;options=0x8015;hwnd=00000000004A13DC
2026-09-14T17:35:13.241Z,58540,open,00000000000002D8,1,50.436,432,4,432,4,index=13;device=4294967295;options=0x8015;hwnd=00000000004A13DC
2026-09-14T17:35:13.304Z,58540,open,00000000000002D9,1,51.355,434,4,434,4,index=14;device=4294967295;options=0x8015;hwnd=00000000004A13DC
2026-09-14T17:35:13.367Z,58540,open,00000000000002DA,1,53.420,436,4,436,4,index=15;device=4294967295;options=0x8015;hwnd=00000000004A13DC
2026-09-14T17:35:13.435Z,58540,open,00000000000002DB,1,55.011,438,4,438,4,index=16;device=4294967295;options=0x8015;hwnd=00000000004A13DC
2026-09-14T17:35:13.498Z,58540,open,00000000000002DC,1,52.435,440,4,440,4,index=17;device=4294967295;options=0x8015;hwnd=00000000004A13DC
