utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T17:36:35.283Z,52716,manager_exports,0000000000000000,1,0.000,405,4,405,4,open;close;enum;owner;default
2026-09-14T17:36:35.292Z,52716,manager_open,0000000000000002,1,0.037,405,4,405,4,hidden;lastError=0
2026-09-14T17:36:35.302Z,52716,enumerated_context,0000000000000B00,0,0.000,405,4,405,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=0;device=0;options=0x0;name=
2026-09-14T17:36:35.311Z,52716,enumerated_context,0000000000000ACA,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-66
2026-09-14T17:36:35.320Z,52716,enumerated_context,0000000000000AC9,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-65
2026-09-14T17:36:35.330Z,52716,enumerated_context,0000000000000AC8,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-64
2026-09-14T17:36:35.339Z,52716,enumerated_context,0000000000000AC7,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-63
2026-09-14T17:36:35.348Z,52716,enumerated_context,0000000000000AC6,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-62
2026-09-14T17:36:35.355Z,52716,enumerated_context,0000000000000AC5,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-61
2026-09-14T17:36:35.365Z,52716,enumerated_context,0000000000000AC4,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-60
2026-09-14T17:36:35.373Z,52716,enumerated_context,0000000000000AC3,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-59
2026-09-14T17:36:35.382Z,52716,enumerated_context,0000000000000AC2,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-58
2026-09-14T17:36:35.390Z,52716,enumerated_context,0000000000000AC1,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-57
2026-09-14T17:36:35.399Z,52716,enumerated_context,0000000000000AC0,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-56
2026-09-14T17:36:35.408Z,52716,enumerated_context,0000000000000ABF,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-55
2026-09-14T17:36:35.418Z,52716,enumerated_context,0000000000000ABE,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-54
2026-09-14T17:36:35.428Z,52716,enumerated_context,0000000000000ABD,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-53
2026-09-14T17:36:35.437Z,52716,enumerated_context,0000000000000ABC,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-52
2026-09-14T17:36:35.446Z,52716,enumerated_context,0000000000000ABB,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-51
2026-09-14T17:36:35.454Z,52716,enumerated_context,0000000000000ABA,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-50
2026-09-14T17:36:35.464Z,52716,enumerated_context,0000000000000AB9,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-49
2026-09-14T17:36:35.472Z,52716,enumerated_context,0000000000000AB8,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-48
2026-09-14T17:36:35.482Z,52716,enumerated_context,0000000000000AB7,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-47
2026-09-14T17:36:35.491Z,52716,enumerated_context,0000000000000AB6,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-46
2026-09-14T17:36:35.498Z,52716,enumerated_context,0000000000000AB5,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-45
2026-09-14T17:36:35.505Z,52716,enumerated_context,0000000000000AB4,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-44
2026-09-14T17:36:35.513Z,52716,enumerated_context,0000000000000AB3,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-43
2026-09-14T17:36:35.518Z,52716,enumerated_context,0000000000000AB2,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-42
2026-09-14T17:36:35.528Z,52716,enumerated_context,0000000000000AB1,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-41
2026-09-14T17:36:35.535Z,52716,enumerated_context,0000000000000AB0,0,0.000,405,4,405,4,owner=00000000004913DC;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-50160-40
