"utc","name","pid","service_status","handles","threads","private_bytes","working_set_bytes"
"2026-09-14T17:36:43.6557779Z","Wacom_Tablet","34844","Running","737","71","45813760","92049408"
"2026-09-14T17:36:43.6557779Z","Wacom_TabletUser","55636","Running","309","5","3006464","23318528"
"2026-09-14T17:36:43.6557779Z","WTabletServicePro","40496","Running","204","4","2187264","12652544"
"2026-09-14T17:36:53.7232940Z","Wacom_Tablet","34844","Running","737","71","45813760","92049408"
"2026-09-14T17:36:53.7232940Z","Wacom_TabletUser","55636","Running","309","5","3006464","23318528"
"2026-09-14T17:36:53.7232940Z","WTabletServicePro","40496","Running","204","4","2187264","12652544"
"2026-09-14T17:37:03.7729412Z","Wacom_Tablet","34844","Running","727","69","45748224","92008448"
"2026-09-14T17:37:03.7729412Z","Wacom_TabletUser","55636","Running","307","4","2973696","23302144"
"2026-09-14T17:37:03.7729412Z","WTabletServicePro","40496","Running","204","4","2187264","12656640"
"2026-09-14T17:37:13.8158721Z","Wacom_Tablet","34844","Running","727","69","45748224","92008448"
"2026-09-14T17:37:13.8158721Z","Wacom_TabletUser","55636","Running","307","4","2973696","23302144"
"2026-09-14T17:37:13.8158721Z","WTabletServicePro","40496","Running","204","4","2187264","12656640"
"2026-09-14T17:37:23.8554752Z","Wacom_Tablet","34844","Running","727","70","45776896","92028928"
"2026-09-14T17:37:23.8554752Z","Wacom_TabletUser","55636","Running","307","4","2973696","23302144"
"2026-09-14T17:37:23.8554752Z","WTabletServicePro","40496","Running","204","4","2187264","12656640"
"2026-09-14T17:37:33.9021211Z","Wacom_Tablet","34844","Running","727","70","45817856","92069888"
"2026-09-14T17:37:33.9021211Z","Wacom_TabletUser","55636","Running","307","4","2973696","23302144"
"2026-09-14T17:37:33.9021211Z","WTabletServicePro","40496","Running","204","4","2195456","12668928"
"2026-09-14T17:37:43.9548052Z","Wacom_Tablet","34844","Running","727","70","45817856","92086272"
"2026-09-14T17:37:43.9548052Z","Wacom_TabletUser","55636","Running","307","4","2973696","23302144"
"2026-09-14T17:37:43.9548052Z","WTabletServicePro","40496","Running","204","4","2183168","12656640"
"2026-09-14T17:37:54.0112962Z","Wacom_Tablet","34844","Running","727","70","45817856","92086272"
"2026-09-14T17:37:54.0112962Z","Wacom_TabletUser","55636","Running","307","4","2973696","23302144"
"2026-09-14T17:37:54.0112962Z","WTabletServicePro","40496","Running","204","4","2207744","12668928"
"2026-09-14T17:38:04.0621067Z","Wacom_Tablet","34844","Running","727","70","45817856","92086272"
"2026-09-14T17:38:04.0621067Z","Wacom_TabletUser","55636","Running","307","4","2973696","23302144"
"2026-09-14T17:38:04.0621067Z","WTabletServicePro","40496","Running","204","4","2207744","12681216"
"2026-09-14T17:38:14.1139183Z","Wacom_Tablet","34844","Running","727","70","45817856","92086272"
"2026-09-14T17:38:14.1139183Z","Wacom_TabletUser","55636","Running","307","4","2973696","23302144"
"2026-09-14T17:38:14.1139183Z","WTabletServicePro","40496","Running","202","4","2285568","12709888"
"2026-09-14T17:38:24.1678598Z","Wacom_Tablet","34844","Running","727","70","45817856","92086272"
"2026-09-14T17:38:24.1678598Z","Wacom_TabletUser","55636","Running","307","4","2973696","23302144"
"2026-09-14T17:38:24.1678598Z","WTabletServicePro","40496","Running","202","4","2285568","12709888"
"2026-09-14T17:38:34.2080317Z","Wacom_Tablet","34844","Running","727","70","45817856","92086272"
"2026-09-14T17:38:34.2080317Z","Wacom_TabletUser","55636","Running","307","4","2973696","23302144"
"2026-09-14T17:38:34.2080317Z","WTabletServicePro","40496","Running","202","4","2285568","12718080"
"2026-09-14T17:38:44.2605116Z","Wacom_Tablet","34844","Running","727","72","45883392","92364800"
"2026-09-14T17:38:44.2605116Z","Wacom_TabletUser","55636","Running","307","7","3080192","23539712"
"2026-09-14T17:38:44.2605116Z","WTabletServicePro","40496","Running","202","5","2322432","12869632"
"2026-09-14T17:38:54.3104505Z","Wacom_Tablet","34844","Running","727","72","45883392","92364800"
"2026-09-14T17:38:54.3104505Z","Wacom_TabletUser","55636","Running","307","7","3080192","23539712"
"2026-09-14T17:38:54.3104505Z","WTabletServicePro","40496","Running","202","5","2322432","12869632"
"2026-09-14T17:39:04.3527467Z","Wacom_Tablet","34844","Running","727","72","45883392","92364800"
"2026-09-14T17:39:04.3527467Z","Wacom_TabletUser","55636","Running","307","7","3080192","23539712"
"2026-09-14T17:39:04.3527467Z","WTabletServicePro","40496","Running","202","5","2322432","12869632"
"2026-09-14T17:39:14.4015268Z","Wacom_Tablet","34844","Running","727","72","45883392","92364800"
"2026-09-14T17:39:14.4015268Z","Wacom_TabletUser","55636","Running","307","7","3080192","23539712"
"2026-09-14T17:39:14.4015268Z","WTabletServicePro","40496","Running","204","5","2322432","12869632"
"2026-09-14T17:39:24.4483472Z","Wacom_Tablet","34844","Running","727","72","45883392","92389376"
"2026-09-14T17:39:24.4483472Z","Wacom_TabletUser","55636","Running","307","7","3080192","23539712"
"2026-09-14T17:39:24.4483472Z","WTabletServicePro","40496","Running","204","5","2322432","12869632"
"2026-09-14T17:39:34.4997436Z","Wacom_Tablet","34844","Running","727","72","45883392","92389376"
"2026-09-14T17:39:34.4997436Z","Wacom_TabletUser","55636","Running","307","7","3080192","23539712"
"2026-09-14T17:39:34.4997436Z","WTabletServicePro","40496","Running","204","5","2322432","12869632"
"2026-09-14T17:39:44.5554418Z","Wacom_Tablet","34844","Running","727","72","45883392","92389376"
"2026-09-14T17:39:44.5554418Z","Wacom_TabletUser","55636","Running","307","7","3080192","23539712"
"2026-09-14T17:39:44.5554418Z","WTabletServicePro","40496","Running","204","5","2322432","12869632"
"2026-09-14T17:39:54.5995653Z","Wacom_Tablet","34844","Running","727","72","45883392","92389376"
"2026-09-14T17:39:54.5995653Z","Wacom_TabletUser","55636","Running","307","7","3080192","23539712"
"2026-09-14T17:39:54.5995653Z","WTabletServicePro","40496","Running","204","5","2322432","12869632"
