utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T17:27:40.107Z,53196,manager_exports,0000000000000000,1,0.000,4,4,4,4,open;close;enum;owner;default
2026-09-14T17:27:40.107Z,53196,manager_open,0000000000000003,1,0.071,4,4,4,4,hidden;lastError=0
2026-09-14T17:27:40.108Z,53196,enumerated_context,0000000000000A02,0,0.000,4,4,4,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015
2026-09-14T17:27:40.110Z,53196,enumerated_context,0000000000000801,0,0.000,4,4,4,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=0;options=0x8011
2026-09-14T17:27:40.111Z,53196,enumerated_context,0000000000001202,0,0.000,4,4,4,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=1;options=0x8015
2026-09-14T17:27:40.112Z,53196,enumerated_context,0000000000001001,0,0.000,4,4,4,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=1;options=0x8011
2026-09-14T17:27:40.112Z,53196,manager_enum,0000000000000003,1,0.000,4,4,4,4,callbacks=4
2026-09-14T17:27:40.112Z,53196,manager_default_digitizer,0000000000000C02,0,0.000,4,4,4,4,read_only
2026-09-14T17:27:40.112Z,53196,manager_default_system,0000000000000C01,0,0.000,4,4,4,4,read_only
2026-09-14T17:27:40.114Z,53196,manager_close,0000000000000003,1,0.000,4,4,4,4,hidden
2026-09-14T17:27:40.220Z,53196,manager_open,0000000000000004,1,0.117,4,4,4,4,visible;lastError=0
2026-09-14T17:27:40.221Z,53196,enumerated_context,0000000000000A02,0,0.000,4,4,4,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015
2026-09-14T17:27:40.223Z,53196,enumerated_context,0000000000000801,0,0.000,4,4,4,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=0;options=0x8011
2026-09-14T17:27:40.224Z,53196,enumerated_context,0000000000001202,0,0.000,4,4,4,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=1;options=0x8015
2026-09-14T17:27:40.224Z,53196,enumerated_context,0000000000001001,0,0.000,4,4,4,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=1;options=0x8011
2026-09-14T17:27:40.226Z,53196,manager_enum,0000000000000004,1,0.000,4,4,4,4,callbacks=4
2026-09-14T17:27:40.226Z,53196,manager_default_digitizer,0000000000000C02,0,0.000,4,4,4,4,read_only
2026-09-14T17:27:40.227Z,53196,manager_default_system,0000000000000C01,0,0.000,4,4,4,4,read_only
2026-09-14T17:27:40.227Z,53196,manager_close,0000000000000004,1,0.000,4,4,4,4,visible
2026-09-14T17:27:40.227Z,53196,manager_open,0000000000000000,0,0.032,4,4,4,4,null_hwnd;lastError=0
