utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T17:26:50.042Z,38024,manager_exports,0000000000000000,1,0.000,2,4,2,4,open;close;enum;owner;default
2026-09-14T17:26:50.042Z,38024,manager_open,0000000000000001,1,0.033,2,4,2,4,hidden;lastError=0
2026-09-14T17:26:50.045Z,38024,enumerated_context,0000000000000801,0,0.000,2,4,2,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=0;options=0x8011
2026-09-14T17:26:50.045Z,38024,enumerated_context,0000000000001001,0,0.000,2,4,2,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=1;options=0x8011
2026-09-14T17:26:50.045Z,38024,manager_enum,0000000000000001,1,0.000,2,4,2,4,callbacks=2
2026-09-14T17:26:50.047Z,38024,manager_default_digitizer,0000000000000C02,0,0.000,2,4,2,4,read_only
2026-09-14T17:26:50.047Z,38024,manager_default_system,0000000000000C01,0,0.000,2,4,2,4,read_only
2026-09-14T17:26:50.047Z,38024,manager_close,0000000000000001,1,0.000,2,4,2,4,hidden
2026-09-14T17:26:50.152Z,38024,manager_open,0000000000000002,1,0.156,2,4,2,4,visible;lastError=0
2026-09-14T17:26:50.153Z,38024,enumerated_context,0000000000000801,0,0.000,2,4,2,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=0;options=0x8011
2026-09-14T17:26:50.154Z,38024,enumerated_context,0000000000001001,0,0.000,2,4,2,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=1;options=0x8011
2026-09-14T17:26:50.154Z,38024,manager_enum,0000000000000002,1,0.000,2,4,2,4,callbacks=2
2026-09-14T17:26:50.154Z,38024,manager_default_digitizer,0000000000000C02,0,0.000,2,4,2,4,read_only
2026-09-14T17:26:50.156Z,38024,manager_default_system,0000000000000C01,0,0.000,2,4,2,4,read_only
2026-09-14T17:26:50.156Z,38024,manager_close,0000000000000002,1,0.000,2,4,2,4,visible
2026-09-14T17:26:50.156Z,38024,manager_open,0000000000000000,0,0.024,2,4,2,4,null_hwnd;lastError=0
