utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-15T01:37:48.099Z,32024,packet_context_open,0000000000000202,1,0.000,4,4,4,4,"physical_pen_required"
2026-09-15T01:37:48.124Z,32024,packet_window_visible,000000000072133E,1,0.000,4,4,4,4,"visible_and_not_minimized"
2026-09-15T01:39:06.909Z,32024,hardware_packet,0000000000000202,0,0.000,4,4,4,4,"phase=0;serial=1;cursor=1;x=2630;y=938;pressure=0"
2026-09-15T01:39:06.921Z,32024,hardware_packet,0000000000000202,0,0.000,4,4,4,4,"phase=0;serial=2;cursor=1;x=2633;y=936;pressure=0"
2026-09-15T01:39:06.924Z,32024,hardware_packet,0000000000000202,0,0.000,4,4,4,4,"phase=0;serial=3;cursor=1;x=2635;y=934;pressure=0"
2026-09-15T01:39:06.924Z,32024,hardware_packet,0000000000000202,0,0.000,4,4,4,4,"phase=0;serial=4;cursor=1;x=2635;y=934;pressure=0"
2026-09-15T01:39:06.925Z,32024,hardware_packet,0000000000000202,0,0.000,4,4,4,4,"phase=0;serial=5;cursor=1;x=2639;y=932;pressure=0"
2026-09-15T01:39:06.936Z,32024,hardware_packet,0000000000000202,0,0.000,4,4,4,4,"phase=0;serial=6;cursor=1;x=2641;y=930;pressure=0"
2026-09-15T01:39:06.938Z,32024,hardware_packet,0000000000000202,0,0.000,4,4,4,4,"phase=0;serial=7;cursor=1;x=2644;y=928;pressure=0"
2026-09-15T01:39:06.952Z,32024,hardware_packet,0000000000000202,0,0.000,4,4,4,4,"phase=0;serial=8;cursor=1;x=2647;y=925;pressure=0"
2026-09-15T01:39:06.954Z,32024,hardware_packet,0000000000000202,0,0.000,4,4,4,4,"phase=0;serial=9;cursor=1;x=2650;y=923;pressure=0"
2026-09-15T01:39:06.954Z,32024,hardware_packet,0000000000000202,0,0.000,4,4,4,4,"phase=0;serial=10;cursor=1;x=2652;y=921;pressure=0"
2026-09-15T01:39:06.972Z,32024,hardware_packet,0000000000000202,0,0.000,4,4,4,4,"phase=0;serial=11;cursor=1;x=2653;y=921;pressure=0"
2026-09-15T01:39:06.974Z,32024,hardware_packet,0000000000000202,0,0.000,4,4,4,4,"phase=0;serial=12;cursor=1;x=2653;y=920;pressure=0"
2026-09-15T01:39:06.974Z,32024,hardware_packet,0000000000000202,4416,0.000,4,4,4,4,"phase=0;serial=13;cursor=1;x=2652;y=920;pressure=4416"
2026-09-15T01:39:06.975Z,32024,hardware_packet,0000000000000202,4556,0.000,4,4,4,4,"phase=0;serial=14;cursor=1;x=2652;y=920;pressure=4556"
2026-09-15T01:39:07.004Z,32024,hardware_packet,0000000000000202,4556,0.000,4,4,4,4,"phase=0;serial=15;cursor=1;x=2652;y=920;pressure=4556"
2026-09-15T01:39:07.004Z,32024,hardware_packet,0000000000000202,4556,0.000,4,4,4,4,"phase=0;serial=16;cursor=1;x=2652;y=920;pressure=4556"
2026-09-15T01:39:07.005Z,32024,hardware_packet,0000000000000202,4804,0.000,4,4,4,4,"phase=0;serial=17;cursor=1;x=2652;y=920;pressure=4804"
2026-09-15T01:39:07.005Z,32024,hardware_packet,0000000000000202,5048,0.000,4,4,4,4,"phase=0;serial=18;cursor=1;x=2652;y=920;pressure=5048"
2026-09-15T01:39:07.005Z,32024,hardware_packet,0000000000000202,5048,0.000,4,4,4,4,"phase=0;serial=19;cursor=1;x=2652;y=920;pressure=5048"
2026-09-15T01:39:07.019Z,32024,hardware_packet,0000000000000202,5040,0.000,4,4,4,4,"phase=0;serial=20;cursor=1;x=2652;y=920;pressure=5040"
2026-09-15T01:39:07.020Z,32024,hardware_packet,0000000000000202,5040,0.000,4,4,4,4,"phase=0;serial=21;cursor=1;x=2655;y=916;pressure=5040"
2026-09-15T01:39:07.020Z,32024,hardware_packet,0000000000000202,5136,0.000,4,4,4,4,"phase=0;serial=22;cursor=1;x=2658;y=914;pressure=5136"
2026-09-15T01:39:07.022Z,32024,hardware_packet,0000000000000202,5328,0.000,4,4,4,4,"phase=0;serial=23;cursor=1;x=2662;y=911;pressure=5328"
2026-09-15T01:39:07.050Z,32024,hardware_packet,0000000000000202,5404,0.000,4,4,4,4,"phase=0;serial=24;cursor=1;x=2666;y=909;pressure=5404"
2026-09-15T01:39:07.052Z,32024,hardware_packet,0000000000000202,5404,0.000,4,4,4,4,"phase=0;serial=25;cursor=1;x=2670;y=908;pressure=5404"
2026-09-15T01:39:07.052Z,32024,hardware_packet,0000000000000202,5356,0.000,4,4,4,4,"phase=0;serial=26;cursor=1;x=2674;y=907;pressure=5356"
2026-09-15T01:39:07.054Z,32024,hardware_packet,0000000000000202,5352,0.000,4,4,4,4,"phase=0;serial=27;cursor=1;x=2678;y=907;pressure=5352"
2026-09-15T01:39:07.054Z,32024,hardware_packet,0000000000000202,5324,0.000,4,4,4,4,"phase=0;serial=28;cursor=1;x=2682;y=906;pressure=5324"
2026-09-15T01:39:07.055Z,32024,packet_phase_pass,0000000000000202,16,0.000,4,4,4,4,"before_reclaim"
2026-09-15T01:39:07.055Z,32024,packet_check_result,0000000000000202,1,0.000,4,4,4,4,"input_only_no_reclamation"
2026-09-15T01:39:07.057Z,32024,packet_context_close,0000000000000202,1,0.000,2,4,2,4,""
