utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T17:29:32.507Z,47376,reclaim_before,0000000000000000,3,0.000,4,4,4,4,kill
2026-09-14T17:29:32.557Z,47376,sentinel_open,0000000000000204,1,0.000,6,4,6,4,must_survive
2026-09-14T17:29:32.748Z,47376,child_wait,0000000000000234,0,0.000,12,4,6,4,requires_WAIT_OBJECT_0
2026-09-14T17:29:32.748Z,47376,child_exited,0000000000000000,52896,0.000,12,4,6,4,exit=0
2026-09-14T17:29:32.750Z,47376,enumerated_context,0000000000000A07,0,0.000,12,4,6,4,owner=00000000002B15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8014;name=issue121-52896-2
2026-09-14T17:29:32.752Z,47376,enumerated_context,0000000000000A06,0,0.000,12,4,6,4,owner=00000000002B15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8014;name=issue121-52896-1
2026-09-14T17:29:32.754Z,47376,enumerated_context,0000000000000A05,0,0.000,12,4,6,4,owner=00000000002B15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8014;name=issue121-52896-0
2026-09-14T17:29:32.754Z,47376,enumerated_context,0000000000000A04,47376,0.000,12,4,6,4,owner=0000000001421490;isWindow=1;ownerPid=47376;get=1;device=0;options=0x8011;name=issue121-live-sentinel
2026-09-14T17:29:32.756Z,47376,enumerated_context,0000000000000801,0,0.000,12,4,6,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=0;options=0x8011;name=
2026-09-14T17:29:32.757Z,47376,enumerated_context,0000000000000A02,0,0.000,12,4,6,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-44876-0
2026-09-14T17:29:32.757Z,47376,enumerated_context,0000000000001207,0,0.000,12,4,6,4,owner=00000000002B15A0;isWindow=0;ownerPid=0;get=1;device=1;options=0x8014;name=issue121-52896-2
2026-09-14T17:29:32.760Z,47376,enumerated_context,0000000000001206,0,0.000,12,4,6,4,owner=00000000002B15A0;isWindow=0;ownerPid=0;get=1;device=1;options=0x8014;name=issue121-52896-1
2026-09-14T17:29:32.760Z,47376,enumerated_context,0000000000001205,0,0.000,12,4,6,4,owner=00000000002B15A0;isWindow=0;ownerPid=0;get=1;device=1;options=0x8014;name=issue121-52896-0
2026-09-14T17:29:32.760Z,47376,enumerated_context,0000000000001204,47376,0.000,12,4,6,4,owner=0000000001421490;isWindow=1;ownerPid=47376;get=1;device=1;options=0x8011;name=issue121-live-sentinel
2026-09-14T17:29:32.762Z,47376,enumerated_context,0000000000001001,0,0.000,12,4,6,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=1;options=0x8011;name=
2026-09-14T17:29:32.764Z,47376,enumerated_context,0000000000001202,0,0.000,12,4,6,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=1;options=0x8015;name=issue121-44876-0
2026-09-14T17:29:32.764Z,47376,reclaim_candidates,0000000000000000,6,0.000,12,4,6,4,matches_confirmed_exited_child_name
2026-09-14T17:29:32.767Z,47376,foreign_close,0000000000000A07,1,0.000,11,4,6,4,known_child_only
2026-09-14T17:29:32.770Z,47376,foreign_close,0000000000000A06,1,0.000,10,4,6,4,known_child_only
2026-09-14T17:29:32.770Z,47376,foreign_close,0000000000000A05,1,0.000,9,4,6,4,known_child_only
2026-09-14T17:29:32.773Z,47376,foreign_close,0000000000001207,1,0.000,8,4,6,4,known_child_only
2026-09-14T17:29:32.773Z,47376,foreign_close,0000000000001206,1,0.000,7,4,6,4,known_child_only
2026-09-14T17:29:32.775Z,47376,foreign_close,0000000000001205,1,0.000,6,4,6,4,known_child_only
2026-09-14T17:29:32.775Z,47376,sentinel_still_valid,0000000000000204,1,0.000,6,4,6,4,WTGetA
2026-09-14T17:29:32.776Z,47376,enumerated_context,0000000000000A04,47376,0.000,6,4,6,4,owner=0000000001421490;isWindow=1;ownerPid=47376;get=1;device=0;options=0x8011;name=issue121-live-sentinel
2026-09-14T17:29:32.776Z,47376,enumerated_context,0000000000000801,0,0.000,6,4,6,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=0;options=0x8011;name=
2026-09-14T17:29:32.778Z,47376,enumerated_context,0000000000000A02,0,0.000,6,4,6,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-44876-0
2026-09-14T17:29:32.778Z,47376,enumerated_context,0000000000001204,47376,0.000,6,4,6,4,owner=0000000001421490;isWindow=1;ownerPid=47376;get=1;device=1;options=0x8011;name=issue121-live-sentinel
2026-09-14T17:29:32.780Z,47376,enumerated_context,0000000000001001,0,0.000,6,4,6,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=1;options=0x8011;name=
2026-09-14T17:29:32.781Z,47376,enumerated_context,0000000000001202,0,0.000,6,4,6,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=1;options=0x8015;name=issue121-44876-0
2026-09-14T17:29:32.781Z,47376,sentinel_close,0000000000000204,1,0.000,4,4,4,4,
2026-09-14T17:29:32.781Z,47376,manager_close,0000000000000008,1,0.000,4,4,4,4,reclaim
2026-09-14T17:29:32.784Z,47376,reclaim_after,0000000000000000,1,0.000,4,4,4,4,
