utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T17:29:33.944Z,59380,reclaim_before,0000000000000000,16,0.000,4,4,4,4,kill
2026-09-14T17:29:33.991Z,59380,sentinel_open,0000000000000204,1,0.000,6,4,6,4,must_survive
2026-09-14T17:29:34.804Z,59380,child_wait,0000000000000248,0,0.000,38,4,38,4,requires_WAIT_OBJECT_0
2026-09-14T17:29:34.804Z,59380,child_exited,0000000000000000,53636,0.000,38,4,38,4,exit=0
2026-09-14T17:29:34.805Z,59380,enumerated_context,0000000000000A14,0,0.000,38,4,38,4,owner=00000000002E15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-53636-15
2026-09-14T17:29:34.808Z,59380,enumerated_context,0000000000000A13,0,0.000,38,4,38,4,owner=00000000002E15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-53636-14
2026-09-14T17:29:34.810Z,59380,enumerated_context,0000000000000A12,0,0.000,38,4,38,4,owner=00000000002E15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-53636-13
2026-09-14T17:29:34.812Z,59380,enumerated_context,0000000000000A11,0,0.000,38,4,38,4,owner=00000000002E15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-53636-12
2026-09-14T17:29:34.813Z,59380,enumerated_context,0000000000000A10,0,0.000,38,4,38,4,owner=00000000002E15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-53636-11
2026-09-14T17:29:34.816Z,59380,enumerated_context,0000000000000A0F,0,0.000,38,4,38,4,owner=00000000002E15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-53636-10
2026-09-14T17:29:34.818Z,59380,enumerated_context,0000000000000A0E,0,0.000,38,4,38,4,owner=00000000002E15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-53636-9
2026-09-14T17:29:34.820Z,59380,enumerated_context,0000000000000A0D,0,0.000,38,4,38,4,owner=00000000002E15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-53636-8
2026-09-14T17:29:34.822Z,59380,enumerated_context,0000000000000A0C,0,0.000,38,4,38,4,owner=00000000002E15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-53636-7
2026-09-14T17:29:34.824Z,59380,enumerated_context,0000000000000A0B,0,0.000,38,4,38,4,owner=00000000002E15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-53636-6
2026-09-14T17:29:34.825Z,59380,enumerated_context,0000000000000A0A,0,0.000,38,4,38,4,owner=00000000002E15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-53636-5
2026-09-14T17:29:34.827Z,59380,enumerated_context,0000000000000A09,0,0.000,38,4,38,4,owner=00000000002E15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-53636-4
2026-09-14T17:29:34.828Z,59380,enumerated_context,0000000000000A08,0,0.000,38,4,38,4,owner=00000000002E15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-53636-3
2026-09-14T17:29:34.831Z,59380,enumerated_context,0000000000000A07,0,0.000,38,4,38,4,owner=00000000002E15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-53636-2
2026-09-14T17:29:34.833Z,59380,enumerated_context,0000000000000A06,0,0.000,38,4,38,4,owner=00000000002E15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-53636-1
