utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T17:29:10.403Z,46560,reclaim_before,0000000000000000,3,0.000,4,4,4,4,kill
2026-09-14T17:29:10.451Z,46560,sentinel_open,0000000000000203,1,0.000,6,4,6,4,must_survive
2026-09-14T17:29:10.627Z,46560,child_wait,0000000000000240,0,0.000,12,4,12,4,requires_WAIT_OBJECT_0
2026-09-14T17:29:10.629Z,46560,child_exited,0000000000000000,31196,0.000,12,4,12,4,exit=0
2026-09-14T17:29:10.631Z,46560,enumerated_context,0000000000000A06,0,0.000,12,4,12,4,owner=00000000001B1650;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-31196-2
2026-09-14T17:29:10.633Z,46560,enumerated_context,0000000000000A05,0,0.000,12,4,12,4,owner=00000000001B1650;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-31196-1
2026-09-14T17:29:10.635Z,46560,enumerated_context,0000000000000A04,0,0.000,12,4,12,4,owner=00000000001B1650;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-31196-0
2026-09-14T17:29:10.636Z,46560,enumerated_context,0000000000000A03,46560,0.000,12,4,12,4,owner=00000000013D1490;isWindow=1;ownerPid=46560;get=1;device=0;options=0x8011;name=issue121-live-sentinel
2026-09-14T17:29:10.637Z,46560,enumerated_context,0000000000000801,0,0.000,12,4,12,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=0;options=0x8011;name=
2026-09-14T17:29:10.639Z,46560,enumerated_context,0000000000000A02,0,0.000,12,4,12,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-44876-0
2026-09-14T17:29:10.641Z,46560,enumerated_context,0000000000001206,0,0.000,12,4,12,4,owner=00000000001B1650;isWindow=0;ownerPid=0;get=1;device=1;options=0x8015;name=issue121-31196-2
2026-09-14T17:29:10.643Z,46560,enumerated_context,0000000000001205,0,0.000,12,4,12,4,owner=00000000001B1650;isWindow=0;ownerPid=0;get=1;device=1;options=0x8015;name=issue121-31196-1
2026-09-14T17:29:10.643Z,46560,enumerated_context,0000000000001204,0,0.000,12,4,12,4,owner=00000000001B1650;isWindow=0;ownerPid=0;get=1;device=1;options=0x8015;name=issue121-31196-0
2026-09-14T17:29:10.644Z,46560,enumerated_context,0000000000001203,46560,0.000,12,4,12,4,owner=00000000013D1490;isWindow=1;ownerPid=46560;get=1;device=1;options=0x8011;name=issue121-live-sentinel
2026-09-14T17:29:10.647Z,46560,enumerated_context,0000000000001001,0,0.000,12,4,12,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=1;options=0x8011;name=
2026-09-14T17:29:10.649Z,46560,enumerated_context,0000000000001202,0,0.000,12,4,12,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=1;options=0x8015;name=issue121-44876-0
2026-09-14T17:29:10.649Z,46560,reclaim_candidates,0000000000000000,6,0.000,12,4,12,4,matches_confirmed_exited_child_name
2026-09-14T17:29:10.652Z,46560,foreign_close,0000000000000A06,1,0.000,11,4,11,4,known_child_only
2026-09-14T17:29:10.654Z,46560,foreign_close,0000000000000A05,1,0.000,10,4,10,4,known_child_only
2026-09-14T17:29:10.655Z,46560,foreign_close,0000000000000A04,1,0.000,9,4,9,4,known_child_only
2026-09-14T17:29:10.657Z,46560,foreign_close,0000000000001206,1,0.000,8,4,8,4,known_child_only
2026-09-14T17:29:10.658Z,46560,foreign_close,0000000000001205,1,0.000,7,4,7,4,known_child_only
2026-09-14T17:29:10.658Z,46560,foreign_close,0000000000001204,1,0.000,6,4,6,4,known_child_only
2026-09-14T17:29:10.661Z,46560,sentinel_still_valid,0000000000000203,1,0.000,6,4,6,4,WTGetA
2026-09-14T17:29:10.661Z,46560,enumerated_context,0000000000000A03,46560,0.000,6,4,6,4,owner=00000000013D1490;isWindow=1;ownerPid=46560;get=1;device=0;options=0x8011;name=issue121-live-sentinel
2026-09-14T17:29:10.663Z,46560,enumerated_context,0000000000000801,0,0.000,6,4,6,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=0;options=0x8011;name=
2026-09-14T17:29:10.663Z,46560,enumerated_context,0000000000000A02,0,0.000,6,4,6,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-44876-0
2026-09-14T17:29:10.664Z,46560,enumerated_context,0000000000001203,46560,0.000,6,4,6,4,owner=00000000013D1490;isWindow=1;ownerPid=46560;get=1;device=1;options=0x8011;name=issue121-live-sentinel
2026-09-14T17:29:10.666Z,46560,enumerated_context,0000000000001001,0,0.000,6,4,6,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=1;options=0x8011;name=
2026-09-14T17:29:10.667Z,46560,enumerated_context,0000000000001202,0,0.000,6,4,6,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=1;options=0x8015;name=issue121-44876-0
2026-09-14T17:29:10.669Z,46560,sentinel_close,0000000000000203,1,0.000,4,4,4,4,
2026-09-14T17:29:10.669Z,46560,manager_close,0000000000000005,1,0.000,4,4,4,4,reclaim
2026-09-14T17:29:10.671Z,46560,reclaim_after,0000000000000000,1,0.000,4,4,4,4,
