utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T17:29:32.823Z,32740,reclaim_before,0000000000000000,3,0.000,4,4,4,4,return
2026-09-14T17:29:32.873Z,32740,sentinel_open,0000000000000204,1,0.000,6,4,6,4,must_survive
2026-09-14T17:29:33.073Z,32740,child_wait,0000000000000238,0,0.000,12,4,12,4,requires_WAIT_OBJECT_0
2026-09-14T17:29:33.075Z,32740,child_exited,0000000000000000,48412,0.000,12,4,12,4,exit=0
2026-09-14T17:29:33.075Z,32740,enumerated_context,0000000000000A07,0,0.000,12,4,12,4,owner=00000000002C15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-48412-2
2026-09-14T17:29:33.076Z,32740,enumerated_context,0000000000000A06,0,0.000,12,4,12,4,owner=00000000002C15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-48412-1
2026-09-14T17:29:33.078Z,32740,enumerated_context,0000000000000A05,0,0.000,12,4,12,4,owner=00000000002C15A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-48412-0
2026-09-14T17:29:33.078Z,32740,enumerated_context,0000000000000A04,32740,0.000,12,4,12,4,owner=0000000001431490;isWindow=1;ownerPid=32740;get=1;device=0;options=0x8011;name=issue121-live-sentinel
2026-09-14T17:29:33.080Z,32740,enumerated_context,0000000000000801,0,0.000,12,4,12,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=0;options=0x8011;name=
2026-09-14T17:29:33.081Z,32740,enumerated_context,0000000000000A02,0,0.000,12,4,12,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-44876-0
2026-09-14T17:29:33.083Z,32740,enumerated_context,0000000000001207,0,0.000,12,4,12,4,owner=00000000002C15A0;isWindow=0;ownerPid=0;get=1;device=1;options=0x8015;name=issue121-48412-2
2026-09-14T17:29:33.083Z,32740,enumerated_context,0000000000001206,0,0.000,12,4,12,4,owner=00000000002C15A0;isWindow=0;ownerPid=0;get=1;device=1;options=0x8015;name=issue121-48412-1
2026-09-14T17:29:33.084Z,32740,enumerated_context,0000000000001205,0,0.000,12,4,12,4,owner=00000000002C15A0;isWindow=0;ownerPid=0;get=1;device=1;options=0x8015;name=issue121-48412-0
2026-09-14T17:29:33.086Z,32740,enumerated_context,0000000000001204,32740,0.000,12,4,12,4,owner=0000000001431490;isWindow=1;ownerPid=32740;get=1;device=1;options=0x8011;name=issue121-live-sentinel
2026-09-14T17:29:33.087Z,32740,enumerated_context,0000000000001001,0,0.000,12,4,12,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=1;options=0x8011;name=
2026-09-14T17:29:33.089Z,32740,enumerated_context,0000000000001202,0,0.000,12,4,12,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=1;options=0x8015;name=issue121-44876-0
2026-09-14T17:29:33.089Z,32740,reclaim_candidates,0000000000000000,6,0.000,12,4,12,4,matches_confirmed_exited_child_name
2026-09-14T17:29:33.090Z,32740,foreign_close,0000000000000A07,1,0.000,11,4,11,4,known_child_only
2026-09-14T17:29:33.090Z,32740,foreign_close,0000000000000A06,1,0.000,10,4,10,4,known_child_only
2026-09-14T17:29:33.093Z,32740,foreign_close,0000000000000A05,1,0.000,9,4,9,4,known_child_only
2026-09-14T17:29:33.094Z,32740,foreign_close,0000000000001207,1,0.000,8,4,8,4,known_child_only
2026-09-14T17:29:33.096Z,32740,foreign_close,0000000000001206,1,0.000,7,4,7,4,known_child_only
2026-09-14T17:29:33.097Z,32740,foreign_close,0000000000001205,1,0.000,6,4,6,4,known_child_only
2026-09-14T17:29:33.097Z,32740,sentinel_still_valid,0000000000000204,1,0.000,6,4,6,4,WTGetA
2026-09-14T17:29:33.099Z,32740,enumerated_context,0000000000000A04,32740,0.000,6,4,6,4,owner=0000000001431490;isWindow=1;ownerPid=32740;get=1;device=0;options=0x8011;name=issue121-live-sentinel
2026-09-14T17:29:33.100Z,32740,enumerated_context,0000000000000801,0,0.000,6,4,6,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=0;options=0x8011;name=
2026-09-14T17:29:33.102Z,32740,enumerated_context,0000000000000A02,0,0.000,6,4,6,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-44876-0
2026-09-14T17:29:33.102Z,32740,enumerated_context,0000000000001204,32740,0.000,6,4,6,4,owner=0000000001431490;isWindow=1;ownerPid=32740;get=1;device=1;options=0x8011;name=issue121-live-sentinel
2026-09-14T17:29:33.104Z,32740,enumerated_context,0000000000001001,0,0.000,6,4,6,4,owner=0000000000000000;isWindow=0;ownerPid=0;get=1;device=1;options=0x8011;name=
2026-09-14T17:29:33.105Z,32740,enumerated_context,0000000000001202,0,0.000,6,4,6,4,owner=00000000002715A0;isWindow=0;ownerPid=0;get=1;device=1;options=0x8015;name=issue121-44876-0
2026-09-14T17:29:33.105Z,32740,sentinel_close,0000000000000204,1,0.000,4,4,4,4,
2026-09-14T17:29:33.105Z,32740,manager_close,0000000000000009,1,0.000,4,4,4,4,reclaim
2026-09-14T17:29:33.107Z,32740,reclaim_after,0000000000000000,1,0.000,4,4,4,4,
