utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T17:34:23.003Z,45764,dll,73B70000,32,0.000,2,4,2,4,C:\Windows\SYSTEM32\Wintab32.dll
2026-09-14T17:34:23.004Z,45764,context_struct_bytes,00000000,172,0.000,2,4,2,4,expected=172
2026-09-14T17:34:23.004Z,45764,info_1_1,00000000,1953392983,0.000,2,4,2,4,bytes=26;name=Wintab Digitizer Services
2026-09-14T17:34:23.004Z,45764,info_1_2,00000000,260,0.000,2,4,2,4,bytes=2
2026-09-14T17:34:23.004Z,45764,info_1_3,00000000,295,0.000,2,4,2,4,bytes=2
2026-09-14T17:34:23.004Z,45764,info_1_4,00000000,1,0.000,2,4,2,4,bytes=4
2026-09-14T17:34:23.006Z,45764,info_1_5,00000000,12,0.000,2,4,2,4,bytes=4
2026-09-14T17:34:23.006Z,45764,info_1_6,00000000,32,0.000,2,4,2,4,bytes=4
2026-09-14T17:34:23.006Z,45764,info_1_7,00000000,13,0.000,2,4,2,4,bytes=4
2026-09-14T17:34:23.007Z,45764,info_1_8,00000000,172,0.000,2,4,2,4,bytes=4
2026-09-14T17:34:23.007Z,45764,info_1_9,00000000,5,0.000,2,4,2,4,bytes=4
2026-09-14T17:34:23.007Z,45764,info_1_10,00000000,9,0.000,2,4,2,4,bytes=4
2026-09-14T17:34:23.007Z,45764,info_2_1,00000000,2,0.000,2,4,2,4,bytes=4
2026-09-14T17:34:23.007Z,45764,info_2_2,00000000,2,0.000,2,4,2,4,bytes=4
2026-09-14T17:34:23.007Z,45764,info_2_3,00000000,200,0.000,2,4,2,4,bytes=4
2026-09-14T17:34:23.007Z,45764,info_2_4,00000000,448,0.000,2,4,2,4,bytes=4
2026-09-14T17:34:23.009Z,45764,info_2_5,00000000,0,0.000,2,4,2,4,bytes=4
2026-09-14T17:34:23.009Z,45764,info_2_6,00000000,1,0.000,2,4,2,4,bytes=4
2026-09-14T17:34:23.009Z,45764,info_2_7,00000000,4294967295,0.000,2,4,2,4,bytes=4
2026-09-14T17:34:23.009Z,45764,info_2_8,00000000,15,0.000,2,4,2,4,bytes=4
2026-09-14T17:34:23.011Z,45764,device_0,00000000,13,0.000,2,4,2,4,name=WACOM Tablet
2026-09-14T17:34:23.011Z,45764,device_1,00000000,13,0.000,2,4,2,4,name=WACOM Tablet
2026-09-14T17:34:23.011Z,45764,device_2,00000000,0,0.000,2,4,2,4,name=
