utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-14T17:34:23.087Z,43536,reclaim_before,00000000,3,0.000,2,4,2,4,kill
2026-09-14T17:34:23.137Z,43536,sentinel_open,00000202,1,0.000,4,4,4,4,must_survive
2026-09-14T17:34:23.310Z,43536,child_wait,00000298,0,0.000,10,4,10,4,requires_WAIT_OBJECT_0
2026-09-14T17:34:23.310Z,43536,child_exited,00000000,34724,0.000,10,4,10,4,exit=0
2026-09-14T17:34:23.312Z,43536,enumerated_context,00000A05,0,0.000,10,4,10,4,owner=001110B0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-34724-2
2026-09-14T17:34:23.314Z,43536,enumerated_context,00000A04,0,0.000,10,4,10,4,owner=001110B0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-34724-1
2026-09-14T17:34:23.314Z,43536,enumerated_context,00000A03,0,0.000,10,4,10,4,owner=001110B0;isWindow=0;ownerPid=0;get=1;device=0;options=0x8015;name=issue121-34724-0
2026-09-14T17:34:23.317Z,43536,enumerated_context,00000A02,43536,0.000,10,4,10,4,owner=00131092;isWindow=1;ownerPid=43536;get=1;device=0;options=0x8011;name=issue121-live-sentinel
2026-09-14T17:34:23.317Z,43536,enumerated_context,00000801,0,0.000,10,4,10,4,owner=00000000;isWindow=0;ownerPid=0;get=1;device=0;options=0x8011;name=
2026-09-14T17:34:23.319Z,43536,enumerated_context,00001205,0,0.000,10,4,10,4,owner=001110B0;isWindow=0;ownerPid=0;get=1;device=1;options=0x8015;name=issue121-34724-2
2026-09-14T17:34:23.320Z,43536,enumerated_context,00001204,0,0.000,10,4,10,4,owner=001110B0;isWindow=0;ownerPid=0;get=1;device=1;options=0x8015;name=issue121-34724-1
2026-09-14T17:34:23.321Z,43536,enumerated_context,00001203,0,0.000,10,4,10,4,owner=001110B0;isWindow=0;ownerPid=0;get=1;device=1;options=0x8015;name=issue121-34724-0
2026-09-14T17:34:23.321Z,43536,enumerated_context,00001202,43536,0.000,10,4,10,4,owner=00131092;isWindow=1;ownerPid=43536;get=1;device=1;options=0x8011;name=issue121-live-sentinel
2026-09-14T17:34:23.323Z,43536,enumerated_context,00001001,0,0.000,10,4,10,4,owner=00000000;isWindow=0;ownerPid=0;get=1;device=1;options=0x8011;name=
2026-09-14T17:34:23.323Z,43536,reclaim_candidates,00000000,6,0.000,10,4,10,4,matches_confirmed_exited_child_name
2026-09-14T17:34:23.325Z,43536,foreign_close,00000A05,1,0.000,9,4,9,4,known_child_only
2026-09-14T17:34:23.326Z,43536,foreign_close,00000A04,1,0.000,8,4,8,4,known_child_only
2026-09-14T17:34:23.328Z,43536,foreign_close,00000A03,1,0.000,7,4,7,4,known_child_only
2026-09-14T17:34:23.330Z,43536,foreign_close,00001205,1,0.000,6,4,6,4,known_child_only
2026-09-14T17:34:23.331Z,43536,foreign_close,00001204,1,0.000,5,4,5,4,known_child_only
2026-09-14T17:34:23.331Z,43536,foreign_close,00001203,1,0.000,4,4,4,4,known_child_only
2026-09-14T17:34:23.333Z,43536,sentinel_still_valid,00000202,1,0.000,4,4,4,4,WTGetA
2026-09-14T17:34:23.334Z,43536,enumerated_context,00000A02,43536,0.000,4,4,4,4,owner=00131092;isWindow=1;ownerPid=43536;get=1;device=0;options=0x8011;name=issue121-live-sentinel
2026-09-14T17:34:23.335Z,43536,enumerated_context,00000801,0,0.000,4,4,4,4,owner=00000000;isWindow=0;ownerPid=0;get=1;device=0;options=0x8011;name=
2026-09-14T17:34:23.335Z,43536,enumerated_context,00001202,43536,0.000,4,4,4,4,owner=00131092;isWindow=1;ownerPid=43536;get=1;device=1;options=0x8011;name=issue121-live-sentinel
2026-09-14T17:34:23.337Z,43536,enumerated_context,00001001,0,0.000,4,4,4,4,owner=00000000;isWindow=0;ownerPid=0;get=1;device=1;options=0x8011;name=
2026-09-14T17:34:23.337Z,43536,sentinel_close,00000202,1,0.000,2,4,2,4,
2026-09-14T17:34:23.337Z,43536,manager_close,00000001,1,0.000,2,4,2,4,reclaim
2026-09-14T17:34:23.338Z,43536,reclaim_after,00000000,1,0.000,2,4,2,4,
