utc,pid,event,handle,result,elapsed_ms,contexts,contexts_bytes,system,system_bytes,detail
2026-09-15T01:58:09.875Z,34516,sample,0000000000000000,0,0.000,14,4,14,4,"persistent_DLL"
2026-09-15T01:58:10.123Z,34516,sample,0000000000000000,0,0.000,14,4,14,4,"persistent_DLL"
2026-09-15T01:58:10.375Z,34516,sample,0000000000000000,0,0.000,14,4,14,4,"persistent_DLL"
2026-09-15T01:58:10.631Z,34516,sample,0000000000000000,0,0.000,14,4,14,4,"persistent_DLL"
2026-09-15T01:58:10.886Z,34516,sample,0000000000000000,0,0.000,14,4,14,4,"persistent_DLL"
2026-09-15T01:58:11.122Z,34516,sample,0000000000000000,0,0.000,14,4,14,4,"persistent_DLL"
2026-09-15T01:58:11.372Z,34516,sample,0000000000000000,0,0.000,14,4,14,4,"persistent_DLL"
2026-09-15T01:58:11.623Z,34516,sample,0000000000000000,0,0.000,14,4,14,4,"persistent_DLL"
2026-09-15T01:58:11.875Z,34516,sample,0000000000000000,0,0.000,14,4,14,4,"persistent_DLL"
2026-09-15T01:58:12.127Z,34516,sample,0000000000000000,0,0.000,14,4,14,4,"persistent_DLL"
2026-09-15T01:58:12.379Z,34516,sample,0000000000000000,0,0.000,14,4,14,4,"persistent_DLL"
2026-09-15T01:58:12.634Z,34516,sample,0000000000000000,0,0.000,14,4,14,4,"persistent_DLL"
2026-09-15T01:58:12.882Z,34516,sample,0000000000000000,0,0.000,14,4,14,4,"persistent_DLL"
2026-09-15T01:58:13.136Z,34516,sample,0000000000000000,0,0.000,14,4,14,4,"persistent_DLL"
2026-09-15T01:58:13.375Z,34516,sample,0000000000000000,0,0.000,14,4,14,4,"persistent_DLL"
2026-09-15T01:58:13.629Z,34516,sample,0000000000000000,0,0.000,14,4,14,4,"persistent_DLL"
2026-09-15T01:58:13.886Z,34516,sample,0000000000000000,0,0.000,14,4,14,4,"persistent_DLL"
2026-09-15T01:58:14.125Z,34516,sample,0000000000000000,0,0.000,14,4,14,4,"persistent_DLL"
2026-09-15T01:58:14.379Z,34516,sample,0000000000000000,0,0.000,16,4,16,4,"persistent_DLL"
