# Reference pen stroke for --replay. Desktop pixels, sub-pixel throughout.
# Synthetic but shaped like a slow hand-drawn curve: ~1.6px sampling, gentle
# curvature, no high-frequency noise. That last part is the point - any turn
# angle in the converted output much above the input's came from the coordinate
# conversion rather than from the stroke.
desktopX,desktopY,pressure
400.998956,598.750166,57
402.005613,597.501704,82
403.020953,596.255456,117
404.045950,595.012279,143
405.081565,593.773053,165
406.128741,592.538677,185
407.188402,591.310071,202
408.261446,590.088179,219
409.348745,588.873965,234
410.451138,587.668417,248
411.569430,586.472544,261
412.704384,585.287377,274
413.856724,584.113967,286
415.027127,582.953386,298
416.216218,581.806724,309
417.424572,580.675089,320
418.652709,579.559604,331
419.901088,578.461405,341
421.170108,577.381638,351
422.460105,576.321459,360
423.771348,575.282025,369
425.104040,574.264500,379
426.458314,573.270042,387
427.834233,572.299804,396
429.231789,571.354932,405
430.650902,570.436555,413
432.091421,569.545786,421
433.553123,568.683714,429
435.035716,567.851402,437
436.538837,567.049881,444
438.062058,566.280148,452
439.604882,565.543156,459
441.166751,564.839815,466
442.747047,564.170986,474
444.345094,563.537475,481
445.960164,562.940032,487
447.591477,562.379345,494
449.238212,561.856037,501
450.899505,561.370664,508
452.574456,560.923710,514
454.262138,560.515587,520
455.961596,560.146630,527
457.671856,559.817098,533
459.391932,559.527171,539
461.120829,559.276948,545
462.857547,559.066451,551
464.601092,558.895618,557
466.350478,558.764309,563
468.104732,558.672305,569
469.862902,558.619308,574
471.624060,558.604942,580
473.387306,558.628758,586
475.151776,558.690232,591
476.916643,558.788772,597
478.681122,558.923715,602
480.444475,559.094335,607
482.206013,559.299842,613
483.965097,559.539390,618
485.721145,559.812075,623
487.473630,560.116943,628
489.222082,560.452990,633
490.966093,560.819170,638
492.705313,561.214392,643
494.439451,561.637531,648
496.168280,562.087425,653
497.891629,562.562884,657
499.609387,563.062689,662
501.321502,563.585596,667
503.027978,564.130342,671
504.728870,564.695644,676
506.424290,565.280206,681
508.114395,565.882716,685
509.799392,566.501853,689
511.479529,567.136288,694
513.155098,567.784686,698
514.826424,568.445707,703
516.493870,569.118009,707
518.157826,569.800249,711
519.818709,570.491083,715
521.476957,571.189173,719
523.133028,571.893179,724
524.787393,572.601770,728
526.440534,573.313616,732
528.092939,574.027398,736
529.745096,574.741800,740
531.397493,575.455519,744
533.050612,576.167258,748
534.704924,576.875731,751
536.360889,577.579665,755
538.018947,578.277800,759
539.679521,578.968887,763
541.343006,579.651694,766
543.009773,580.325006,770
544.680163,580.987626,774
546.354484,581.638373,777
548.033009,582.276092,781
549.715976,582.899648,785
551.403580,583.507932,788
553.095980,584.099859,792
554.793289,584.674376,795
556.495581,585.230460,798
558.202883,585.767120,802
559.915180,586.283401,805
561.632412,586.778386,809
563.354475,587.251198,812
565.081223,587.701002,815
566.812465,588.127008,818
568.547972,588.528474,822
570.287472,588.904705,825
572.030657,589.255061,828
573.777185,589.578952,831
575.526676,589.875846,834
577.278724,590.145269,837
579.032891,590.386804,840
580.788719,590.600095,843
582.545724,590.784850,846
584.303407,590.940839,849
586.061253,591.067894,852
587.818737,591.165913,855
589.575327,591.234860,858
591.330489,591.274763,861
593.083686,591.285713,863
594.834390,591.267868,866
596.582079,591.221449,869
598.326243,591.146740,872
600.066388,591.044086,874
601.802039,590.913893,877
603.532742,590.756626,880
605.258070,590.572807,882
606.977624,590.363013,885
608.691033,590.127874,887
610.397962,589.868072,890
612.098111,589.584335,892
613.791215,589.277439,895
615.477049,588.948203,897
617.155426,588.597486,900
618.826203,588.226187,902
620.489274,587.835238,905
622.144577,587.425607,907
623.792089,586.998290,909
625.431830,586.554312,912
627.063860,586.094724,914
628.688276,585.620598,916
630.305215,585.133028,918
631.914851,584.633127,921
633.517392,584.122024,923
635.113077,583.600861,925
636.702178,583.070796,927
638.284995,582.532994,929
639.861851,581.988631,931
641.433093,581.438892,933
642.999089,580.884966,935
644.560221,580.328047,937
646.116886,579.769335,939
647.669491,579.210031,941
649.218448,578.651338,943
650.764175,578.094459,945
652.307086,577.540596,947
653.847595,576.990951,949
655.386106,576.446723,951
656.923013,575.909107,952
658.458696,575.379295,954
659.993516,574.858471,956
661.527815,574.347814,958
663.061910,573.848497,959
664.596090,573.361680,961
666.130615,572.888517,963
667.665711,572.430146,964
669.201568,571.987694,966
670.738341,571.562274,968
672.276140,571.154980,969
673.815035,570.766889,971
675.355054,570.399056,972
676.896176,570.052513,974
678.438335,569.728269,975
679.981418,569.427303,977
681.525262,569.150567,978
683.069658,568.898978,980
684.614345,568.673420,981
686.159017,568.474739,982
687.703320,568.303741,984
689.246853,568.161191,985
690.789170,568.047805,986
692.329781,567.964256,988
693.868157,567.911165,989
695.403728,567.889100,990
696.935889,567.898576,991
698.464000,567.940051,993
699.987393,568.013924,994
701.505373,568.120536,995
703.017221,568.260165,996
704.522201,568.433027,997
706.019559,568.639275,998
707.508533,568.878999,999
708.988356,569.152222,1000
710.458255,569.458907,1001
711.917465,569.798949,1002
713.365223,570.172183,1003
714.800783,570.578381,1004
716.223412,571.017252,1005
717.632398,571.488448,1006
719.027055,571.991564,1007
720.406726,572.526137,1008
721.770788,573.091654,1008
723.118651,573.687550,1009
724.449769,574.313214,1010
725.763639,574.967989,1011
727.059804,575.651179,1012
728.337855,576.362049,1012
729.597436,577.099831,1013
730.838243,577.863727,1014
732.060031,578.652912,1014
733.262606,579.466536,1015
734.445837,580.303733,1015
735.609648,581.163618,1016
736.754023,582.045297,1017
737.879006,582.947865,1017
738.984698,583.870412,1018
740.071259,584.812026,1018
741.138906,585.771797,1019
742.187914,586.748817,1019
743.218610,587.742185,1020
744.231378,588.751008,1020
745.226652,589.774404,1020
746.204916,590.811505,1021
747.166701,591.861455,1021
748.112585,592.923416,1021
749.043188,593.996566,1022
749.959172,595.080100,1022
750.861236,596.173232,1022
751.750116,597.275196,1022
752.626577,598.385244,1023
753.491418,599.502647,1023
754.345463,600.626694,1023
755.189562,601.756696,1023
756.024584,602.891977,1023
756.851418,604.031880,1023
757.670970,605.175765,1023
758.484156,606.323005,1023
759.291906,607.472988,1023
760.095153,608.625115,1024
760.894840,609.778797,1023
761.691907,610.933455,1023
762.487296,612.088520,1023
763.281945,613.243428,1023
764.076787,614.397622,1023
764.872745,615.550550,1023
765.670733,616.701662,1023
766.471649,617.850411,1023
767.276377,618.996249,1023
768.085784,620.138630,1022
768.900714,621.277006,1022
769.721991,622.410827,1022
770.550412,623.539540,1022
771.386748,624.662591,1021
772.231743,625.779422,1021
773.086108,626.889471,1021
773.950522,627.992174,1020
774.825632,629.086963,1020
775.712045,630.173269,1020
776.610336,631.250520,1019
777.521037,632.318143,1019
778.444642,633.375565,1018
779.381607,634.422217,1018
780.332341,635.457529,1017
781.297215,636.480936,1017
782.276555,637.491880,1016
783.270644,638.489811,1015
784.279724,639.474186,1015
785.303989,640.444475,1014
786.343595,641.400164,1014
787.398650,642.340751,1013
788.469225,643.265756,1012
789.555347,644.174716,1012
790.657002,645.067194,1011
791.774139,645.942777,1010
792.906667,646.801079,1009
794.054462,647.641744,1008
795.217363,648.464450,1008
796.395178,649.268906,1007
797.587683,650.054860,1006
798.794628,650.822096,1005
800.015736,651.570440,1004
801.250704,652.299758,1003
802.499213,653.009959,1002
803.760920,653.700998,1001
805.035470,654.372874,1000
806.322492,655.025634,999
807.621605,655.659371,998
808.932419,656.274229,997
810.254537,656.870396,996
811.587561,657.448114,995
812.931088,658.007670,994
814.284719,658.549403,993
815.648055,659.073697,991
817.020703,659.580988,990
818.402278,660.071758,989
819.792398,660.546535,988
821.190695,661.005897,986
822.596809,661.450462,985
824.010392,661.880896,984
825.431106,662.297907,982
826.858630,662.702244,981
828.292650,663.094697,980
829.732867,663.476094,978
831.178997,663.847301,977
832.630764,664.209219,975
834.087905,664.562785,974
835.550167,664.908965,972
837.017307,665.248758,971
838.489089,665.583191,969
839.965285,665.913318,968
841.445668,666.240218,966
842.930019,666.564992,964
844.418116,666.888764,963
845.909737,667.212675,961
847.404657,667.537884,959
848.902646,667.865564,958
850.403463,668.196900,956
851.906859,668.533089,954
853.412570,668.875333,952
854.920317,669.224841,951
856.429805,669.582826,949
857.940714,669.950497,947
859.452705,670.329066,945
860.965412,670.719734,943
862.478441,671.123699,941
863.991371,671.542143,939
865.503747,671.976237,937
867.015082,672.427133,935
868.524856,672.895964,933
870.032512,673.383838,931
871.537456,673.891835,929
873.039058,674.421006,927
874.536649,674.972367,925
876.029524,675.546897,923
877.516940,676.145535,921
878.998116,676.769173,918
880.472236,677.418659,916
881.938450,678.094788,914
883.395873,678.798303,912
884.843591,679.529888,909
886.280661,680.290168,907
887.706114,681.079707,905
889.118956,681.899002,902
890.518178,682.748485,900
891.902751,683.628518,897
893.271636,684.539392,895
894.623785,685.481328,892
895.958149,686.454472,890
897.273677,687.458899,887
898.569326,688.494607,885
899.844065,689.561523,882
901.096875,690.659502,880
902.326763,691.788324,877
903.532757,692.947700,874
904.713919,694.137273,872
905.869345,695.356618,869
906.998174,696.605248,866
908.099587,697.882611,863
909.172818,699.188102,861
910.217152,700.521058,858
911.231933,701.880768,855
912.216568,703.266474,852
913.170526,704.677376,849
914.093345,706.112637,846
914.984636,707.571390,843
915.844078,709.052736,840
916.671428,710.555759,837
917.466519,712.079521,834
918.229259,713.623075,831
918.959636,715.185464,828
919.657715,716.765731,825
920.323640,718.362919,822
920.957631,719.976079,818
921.559985,721.604274,815
922.131077,723.246581,812
922.671352,724.902097,809
923.181331,726.569941,805
923.661604,728.249261,802
924.112828,729.939230,798
924.535726,731.639055,795
924.931084,733.347979,792
925.299749,735.065277,788
925.642624,736.790264,785
925.960666,738.522293,781
926.254882,740.260756,777
926.526328,742.005084,774
926.776104,743.754750,770
927.005351,745.509263,766
927.215248,747.268172,763
927.407007,749.031065,759
927.581873,750.797565,755
927.741120,752.567328,751
927.886044,754.340045,748
928.017966,756.115437,744
928.138224,757.893252,740
928.248172,759.673265,736
928.349179,761.455274,732
928.442622,763.239095,728
928.529885,765.024564,724
928.612360,766.811529,719
928.691437,768.599849,715
928.768508,770.389391,711
928.844960,772.180027,707
928.922174,773.971630,703
929.001524,775.764071,698
929.084370,777.557218,694
929.172062,779.350929,689
929.265929,781.145054,685
929.367285,782.939428,681
929.477419,784.733873,676
929.597599,786.528192,671
929.729065,788.322167,667
929.873025,790.115562,662
930.030658,791.908116,657
930.203107,793.699543,653
930.391478,795.489535,648
930.596836,797.277755,643
930.820205,799.063841,638
931.062563,800.847406,633
931.324840,802.628036,628
931.607918,804.405290,623
931.912625,806.178707,618
932.239736,807.947798,613
932.589967,809.712055,607
932.963980,811.470949,602
933.362374,813.223934,597
933.785687,814.970448,591
934.234394,816.709916,586
934.708907,818.441754,580
935.209573,820.165368,574
