# Raw Wintab pkTime read against GetTickCount64, one row per packet, taken on a Wacom DTH246
# on 13 Sep 2026 through Scribble.WinForms on the hi-res digitizer context.
#
# This is the measurement that settled pkTime's origin, which Wintab documents nowhere and
# which no stroke recording could answer -- StrokeRecorder writes times relative to the first
# point by design, so it carries no machine uptime at all.
#
# The answer: pkTime is counted on the GetTickCount64 epoch. Over 6217 packets spanning
# 41703ms, pkTime advanced 41703ms against 41703ms of wall clock, and the offset between the
# two stayed between -6ms and +34ms. The run contained a deliberate five-second pause with the
# pen away from the tablet: a counter that only advanced while packets arrived would have
# fallen five seconds behind across it, and this one did not.
#
# The negative end of that offset range is not noise. GetTickCount64 advances in steps of
# about 15.6ms while pkTime is finer, so a packet stamped just after a tick genuinely reads
# ahead of it. The median offset of 15ms is mostly that quantisation rather than delivery
# latency. The first version of the analysis subtracted in unsigned 32-bit arithmetic and
# reported that -1ms as 4294967295, declaring the clock unanchorable; the regression case for
# it is probe/tick-lags-pktime in --selftest-clock.
#
# What it changed: both Wintab sessions now anchor against the system clock instead of
# watching for a backward jump, so a wrap that happens while a session is stopped, or across a
# gap where the capture region discarded every packet, is recovered rather than missed.
#
pkTime,tickCount64
132278841,132278859
132278847,132278859
132278852,132278859
132278858,132278859
132278863,132278875
132278869,132278875
132278875,132278875
132278880,132278890
132278886,132278890
132278891,132278890
132278897,132278906
132278902,132278906
132278908,132278906
132278913,132278921
132278919,132278921
132278925,132278937
132278930,132278937
132278936,132278937
132278941,132278937
132278947,132278953
132278952,132278953
132278958,132278968
132278963,132278968
132278969,132278968
132278975,132278984
132278980,132278984
132278986,132278984
132278991,132279000
132278997,132279000
132279002,132279000
132279008,132279015
132279013,132279015
132279019,132279031
132279025,132279031
132279030,132279031
132279036,132279046
132279041,132279046
132279047,132279046
132279052,132279062
132279058,132279062
132279063,132279062
132279069,132279078
132279075,132279078
132279080,132279093
132279086,132279093
132279091,132279093
132279097,132279109
132279102,132279109
132279108,132279109
132279113,132279125
132279119,132279125
132279125,132279125
132279130,132279140
132279136,132279140
132279141,132279140
132279147,132279156
132279152,132279156
132279158,132279156
132279163,132279171
132279169,132279171
132279175,132279171
132279180,132279187
132279186,132279187
132279191,132279203
132279197,132279203
132279202,132279203
132279208,132279218
132279213,132279218
132279219,132279218
132279225,132279234
132279230,132279234
132279236,132279234
132279241,132279250
132279247,132279250
132279252,132279250
132279258,132279265
132279263,132279265
132279269,132279281
132279274,132279281
132279280,132279281
132279286,132279296
132279291,132279296
132279297,132279296
132279302,132279312
132279308,132279312
132279313,132279312
132279319,132279328
132279324,132279328
132279330,132279343
132279336,132279343
132279341,132279343
132279347,132279359
132279352,132279359
132279358,132279359
132279363,132279375
132279369,132279375
132279374,132279375
132279380,132279390
132279386,132279390
132279391,132279390
132279397,132279406
132279402,132279406
132279408,132279406
132279413,132279421
132279419,132279421
132279424,132279421
132279430,132279437
132279436,132279437
132279441,132279453
132279447,132279453
132279452,132279453
132279458,132279468
132279463,132279468
132279469,132279468
132279474,132279484
132279480,132279484
132279486,132279484
132279491,132279500
132279497,132279500
132279502,132279500
132279508,132279515
132279513,132279515
132279519,132279531
132279524,132279531
132279530,132279531
132279536,132279546
132279541,132279546
132279547,132279546
132279552,132279562
132279558,132279562
132279563,132279562
132279569,132279578
132279574,132279578
132279580,132279593
132279586,132279593
132279591,132279593
132279597,132279609
132279602,132279609
132279608,132279609
132279613,132279625
132279619,132279625
132279624,132279625
132279630,132279640
132279636,132279640
132279641,132279640
132279647,132279656
132279652,132279656
132279658,132279656
132279663,132279671
132279669,132279671
132279674,132279671
132279680,132279687
132279686,132279687
132279691,132279703
132279697,132279703
132279702,132279703
132279708,132279718
132279713,132279718
132279719,132279718
132279724,132279734
132279730,132279734
132279736,132279734
132279741,132279750
132279747,132279750
132279752,132279750
132279758,132279765
132279763,132279765
132279769,132279781
132279774,132279781
132279780,132279781
132279786,132279796
132279791,132279796
132279797,132279796
132279802,132279812
132279808,132279812
132279813,132279812
132279819,132279828
132279824,132279828
132279830,132279843
132279836,132279843
132279841,132279843
132279847,132279859
132279852,132279859
132279858,132279859
132279863,132279875
132279869,132279875
132279874,132279875
132279880,132279890
132279886,132279890
132279891,132279890
132279897,132279906
132279902,132279906
132279908,132279906
132279913,132279921
132279919,132279921
132279924,132279921
132279930,132279937
132279936,132279937
132279941,132279953
132279947,132279953
132279952,132279953
132279958,132279968
132279963,132279968
132279969,132279968
132279974,132279984
132279980,132279984
132279986,132279984
132279991,132280000
132279997,132280000
132280002,132280015
132280008,132280015
132280013,132280015
132280019,132280031
132280024,132280031
132280030,132280031
132280036,132280046
132280041,132280046
132280047,132280046
132280051,132280062
132280056,132280062
132280062,132280078
132280067,132280078
132280073,132280078
132280078,132280093
132280084,132280093
132280089,132280093
132280095,132280109
132280101,132280109
132280106,132280109
132280112,132280125
132280117,132280125
132280123,132280125
132280128,132280140
132280134,132280140
132280139,132280140
132280145,132280156
132280151,132280156
132280156,132280156
132280162,132280171
132280167,132280171
132280173,132280171
132280178,132280187
132280184,132280187
132280189,132280203
132280195,132280203
132280201,132280203
132280206,132280218
132280212,132280218
132280217,132280218
132280223,132280234
132280228,132280234
132280234,132280234
132280239,132280250
132280245,132280250
132280251,132280265
132280256,132280265
132280262,132280265
132280267,132280281
132280273,132280281
132280278,132280281
132280284,132280296
132280289,132280296
132280295,132280296
132280301,132280312
132280306,132280312
132280312,132280328
132280317,132280328
132280323,132280328
132280328,132280343
132280334,132280343
132280339,132280343
132280345,132280359
132280351,132280359
132280356,132280359
132280362,132280375
132280367,132280375
132280373,132280375
132280378,132280390
132280384,132280390
132280389,132280390
132280395,132280406
132280401,132280406
132280406,132280406
132280412,132280421
132280417,132280421
132280423,132280437
132280428,132280437
132280434,132280437
132280439,132280453
132280445,132280453
132280451,132280453
132280456,132280468
132280462,132280468
132280467,132280468
132280473,132280484
132280478,132280484
132280484,132280500
132280489,132280500
132280495,132280500
132280501,132280515
132280506,132280515
132280512,132280515
132280517,132280531
132280523,132280531
132280528,132280531
132280534,132280546
132280539,132280546
132280545,132280546
132280551,132280562
132280556,132280562
132280562,132280562
132280567,132280578
132280573,132280578
132280578,132280593
132280584,132280593
132280589,132280593
132280595,132280609
132280601,132280609
132280606,132280609
132280612,132280625
132280617,132280625
132280623,132280625
132280628,132280640
132280634,132280640
132280639,132280640
132280645,132280656
132280651,132280656
132280656,132280656
132280662,132280671
132280667,132280671
132280673,132280687
132280678,132280687
132280684,132280687
132280689,132280703
132280695,132280703
132280701,132280703
132280706,132280718
132280712,132280718
132280717,132280718
132280723,132280734
132280728,132280734
132280734,132280750
132280739,132280750
132280745,132280750
132280751,132280765
132280756,132280765
132280762,132280765
132280767,132280781
132280773,132280781
132280778,132280781
132280784,132280796
132280789,132280796
132280795,132280812
132280801,132280812
132280806,132280812
132280812,132280812
132280817,132280828
132280823,132280828
132280828,132280843
